month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
201601,25.176523297491038,22.876792114695338,30.63149641577061,26.71415770609319,21.448924731182796,32.05040322580645,18.504704301075268,26.728494623655912,29.606854838709676,36.02049731182796,37.200268817204304,45.26747311827957,50.151881720430104,23.274193548387096,38.56720430107527,39.84610215053763
201602,43.644157088122604,39.45569923371648,46.85871647509579,48.44348659003831,38.51867816091954,50.627155172413794,42.622126436781606,50.089559386973185,52.473419540229884,53.79597701149425,55.87859195402299,51.0625,63.82830459770115,37.444683908045974,52.9705459770115,61.502873563218394
201603,43.66717069892473,39.37007168458781,46.147401433691755,41.556003584229394,37.38172043010753,51.77620967741935,50.98790322580645,54.09778225806452,48.12231182795699,58.163306451612904,54.7442876344086,48.95564516129032,64.12029569892474,44.47849462365591,53.087701612903224,55.14549731182796
201604,68.03587962962963,61.82731481481481,65.93541666666667,63.66053240740741,57.291550925925925,72.02569444444444,71.99409722222222,74.22476851851852,70.31840277777778,63.27118055555555,73.725,64.36666666666666,83.62569444444445,66.62361111111112,74.86944444444444,74.45486111111111
201605,88.82224462365592,85.84094982078852,90.55958781362007,91.34677419354838,82.1480734767025,99.80309139784946,88.375,100.3736559139785,91.0725806451613,96.81686827956989,96.2627688172043,86.84408602150538,113.6975806451613,91.73387096774194,101.12163978494624,102.08803763440861
201606,97.40202546296295,104.41643518518518,102.38657407407406,90.16203703703704,92.0238425925926,116.52708333333334,91.49791666666667,113.28518518518518,108.315625,116.35138888888889,107.09131944444445,97.71597222222222,134.47916666666666,105.6673611111111,118.76319444444445,105.97291666666666
201607,79.98902329749104,90.95284498207886,90.04480286738351,77.97267025089606,77.79614695340503,107.87768817204301,77.73420698924731,101.00403225806451,95.93649193548387,102.12063172043011,99.69522849462365,84.77016129032258,112.04166666666667,87.09610215053763,115.70698924731182,102.79233870967742
201608,73.79418682795699,77.3508064516129,78.82437275985663,74.06765232974911,72.59543010752688,82.47110215053763,68.53931451612904,81.271729390681,81.05040322580645,76.95430107526882,80.89314516129032,68.7627688172043,93.91801075268818,60.443548387096776,88.93313172043011,76.87298387096774
201609,54.969733796296296,54.98518518518519,53.571990740740745,54.328009259259254,54.00856481481481,51.915277777777774,60.23229166666667,62.62314814814815,68.29097222222222,32.407986111111114,63.09027777777778,61.02361111111111,72.81111111111112,55.35,66.91319444444444,53.62013888888889
201610,22.676075268817204,20.049059139784948,20.805555555555557,23.718413978494624,24.50828853046595,19.11962365591398,23.8622311827957,22.269713261648747,26.769489247311828,33.15221774193548,30.163306451612904,24.766129032258064,32.74260752688172,26.700940860215052,37.71975806451613,40.13978494623656
201611,17.49068287037037,13.588657407407409,15.25162037037037,18.58287037037037,13.589583333333334,15.740972222222222,15.569791666666667,16.643287037037037,20.605555555555554,21.601041666666667,19.608680555555555,18.728472222222223,21.42013888888889,18.93125,23.65,29.6625
201612,16.680535190615835,15.004398826979472,17.11669110459433,18.3088954056696,13.498533724340176,16.107038123167154,14.383064516129032,16.60312805474096,22.937316715542522,22.865102639296186,20.681818181818183,21.76392961876833,22.525659824046922,24.032258064516128,29.126099706744867,30.9633431085044
