date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
20230101,2.625,3.2291666666666665,2.5208333333333335,1.7916666666666667,2.8541666666666665,2.2708333333333335,2.513888888888889,3.2916666666666665,1.7708333333333333,2.5416666666666665,2.4166666666666665,3.3958333333333335,3.2083333333333335,3.3645833333333335,2.9583333333333335,2.7916666666666665
20230102,1.5,2.391304347826087,2.369565217391304,1.7826086956521738,1.934782608695652,1.7173913043478262,2.550724637681159,2.5217391304347827,2.3043478260869565,2.3043478260869565,2.5217391304347827,2.652173913043478,1.673913043478261,2.119565217391304,2.3043478260869565,2.282608695652174
20230103,2.0416666666666665,3.0208333333333335,2.375,2.6041666666666665,2.0416666666666665,2.2291666666666665,3.3333333333333335,3.8125,2.625,1.5416666666666667,2.5208333333333335,3.1666666666666665,2.3125,2.579861111111111,2.0416666666666665,2.0833333333333335
20230104,3.25,4.916666666666667,3.875,3.7708333333333335,3.9583333333333335,2.9583333333333335,3.277777777777778,3.0208333333333335,1.9375,2.0,2.6666666666666665,3.0208333333333335,3.25,2.2291666666666665,2.7916666666666665,4.25
20230105,3.9375,6.104166666666667,4.25,3.7708333333333335,4.020833333333333,3.0208333333333335,3.625,4.520833333333333,2.6666666666666665,2.8541666666666665,3.4791666666666665,4.166666666666667,4.645833333333333,3.1041666666666665,2.4375,3.7916666666666665
20230106,3.5,4.541666666666667,3.9583333333333335,3.3541666666666665,3.0,2.7083333333333335,2.375,2.25,2.1666666666666665,2.3333333333333335,2.3333333333333335,3.25,3.5208333333333335,2.65625,2.0208333333333335,2.8333333333333335
20230107,2.2083333333333335,2.1875,2.1458333333333335,2.7291666666666665,2.6458333333333335,2.0625,2.0,2.8541666666666665,1.5,2.5625,2.1666666666666665,2.9166666666666665,2.5833333333333335,2.15625,1.9375,2.25
20230108,2.2083333333333335,3.1458333333333335,3.0,2.5833333333333335,2.6875,2.5208333333333335,3.013888888888889,2.4166666666666665,2.6458333333333335,2.2916666666666665,1.8541666666666667,3.0416666666666665,2.8125,2.2291666666666665,1.7916666666666667,4.541666666666667
20230109,3.6666666666666665,4.4375,3.6041666666666665,3.0208333333333335,2.3958333333333335,2.75,2.5833333333333335,1.8125,2.3958333333333335,2.4583333333333335,1.625,4.010416666666667,4.0,3.2395833333333335,2.0,2.1458333333333335
20230110,3.1666666666666665,5.1875,5.8125,5.520833333333333,3.6666666666666665,4.770833333333333,2.75,2.4791666666666665,2.5625,2.9375,2.9375,5.625,4.208333333333333,2.7256944444444446,2.2291666666666665,3.0625
