year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,14.728290301599316,14.330061045911643,15.253016072296791,14.283431189301476,15.928829214350678,14.721540607102051,19.84124691655229,13.47387878156276,10.528672904790637,10.012705775823656,11.414068808141815,9.338540220910284,10.304882655990863,13.938006919343302
2015,15.705581147435607,13.497011728533659,16.444161989941076,13.614701788914276,16.409763655015634,16.573733666134636,18.159463566025796,11.924184018788216,11.71192995038904,9.731361241897806,13.263809214240553,8.770948588817598,9.867600500570434,13.452560442524229
2016,11.533879757437182,10.16713671151791,12.397391924201225,10.208137238860612,16.147503284724326,12.724250041588173,13.99342165338498,10.206661298632413,7.611120488931772,9.023833211845934,11.049663287959312,6.627390311391633,6.44872949402722,9.633286397414073
2017,9.620724626067801,6.890224574215353,10.576491894600968,8.062305266013071,11.590136174207062,9.555588041405821,11.753624556713094,9.030108786749466,6.841760221568936,7.606002385889667,9.313588977896154,5.3805850641641975,6.033114042607071,8.521970745273217
2018,7.385447618155758,4.79389687603686,6.365009540118996,4.9278927072026315,6.5093030104599565,6.31454434622752,7.197888303841907,6.886881837844718,5.2447885913879855,4.873722340309094,5.979733457087576,5.528708634349478,4.474879684356799,6.084460543145301
2019,5.670954941904722,3.7956190560409264,4.679916632976528,4.126493395936866,4.129946907987432,4.805770976112417,5.06112408612893,4.343007294030271,4.007895786235711,3.6433327317254816,3.939977929188281,4.9576238926286935,3.0993321424292932,5.394747618740609
2020,4.1676530979550135,3.4026793707139817,3.8451381768023527,3.3723132155354065,3.3856736551874476,3.5193054450934977,3.771007361555339,3.7257903511670105,3.6031530845119164,3.1553597769151778,3.4699088021978763,3.132819557576354,2.956794462253797,4.588281193158225
2021,3.0567863518463203,2.7404626408503687,2.8866703145743107,2.7437868172551276,2.6958961049782886,2.896494788892554,3.0416807743902954,2.9374036043384115,2.798197266334815,2.8111114806811828,2.866743632164804,2.7797731431032786,2.857357162783226,2.883370874708667
2022,2.8113382773846336,2.5763109513140754,2.6233962081406808,2.5745674436893213,2.82372422997361,2.6682859720031034,2.783536345238806,2.7780057629143933,2.586772673499418,2.5833175289057704,2.9381045876588683,2.6028542363388967,2.861448040260006,2.5873944738951637
2023,2.9092640479029885,2.6477586778386635,2.8267742620228495,2.7174898338288522,2.6791594362300226,2.704499682289709,2.8566368448655197,2.9169022670942724,2.651659847784114,2.649850669949902,2.699067441068801,2.692374656727942,2.6766447040983117,2.620870445256909
