month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
202101,3.8262411347517733,3.770594653573377,4.102564102564102,3.7176759410801963,3.646208401527551,3.1636661211129296,3.752045826513912,4.754500818330605,2.8772504091653026,2.669394435351882,3.0474631751227497,2.865793780687398,3.525368248772504,3.855019094380796,3.7545008183306057,2.757774140752864
202102,3.5555555555555554,4.260416666666667,4.795138888888889,3.25,4.0219907407407405,3.678240740740741,3.428240740740741,4.5532407407407405,3.1666666666666665,3.431712962962963,3.4409722222222223,3.9253472222222223,4.81712962962963,3.5268132716049383,3.611111111111111,3.8136574074074074
202103,2.6881720430107525,3.172043010752688,3.0913978494623655,2.4321236559139785,3.248991935483871,2.6975806451612905,2.668010752688172,2.735215053763441,2.7936827956989245,2.75369623655914,2.704301075268817,2.8138440860215055,2.8501344086021505,2.842965949820788,2.51747311827957,2.5813172043010755
202104,3.358901515151515,3.7959280303030303,3.472537878787879,2.9076704545454546,3.571969696969697,3.090909090909091,2.9041982323232323,2.71875,3.4801136363636362,3.3068181818181817,3.321022727272727,3.321022727272727,3.3143939393939394,3.38052398989899,2.8645833333333335,3.428030303030303
202105,2.6561238223418573,2.977792732166891,2.8142664872139975,2.3960296096904443,2.7476446837146704,2.5107671601615076,2.6056527590847915,2.4266487213997308,2.8253701211305517,2.5746971736204576,2.7860026917900402,2.8936742934051143,2.7489905787348587,2.7266711529834007,2.6164199192462987,2.4629878869448185
202106,2.7338530066815143,2.730512249443207,2.7388641425389757,2.685968819599109,2.40924276169265,2.6870824053452114,2.7167780252412768,2.3496659242761693,2.7349665924276167,2.700445434298441,2.7962138084632517,2.844097995545657,2.769487750556793,2.839458054936897,2.6581291759465477,2.38195991091314
202107,2.70497311827957,2.086021505376344,2.760752688172043,2.633736559139785,2.39247311827957,2.8830645161290325,2.6635304659498207,2.0309139784946235,2.565188172043011,2.635752688172043,2.836693548387097,2.913306451612903,2.877688172043011,2.8471102150537635,2.8239247311827955,2.6088709677419355
202108,2.5339912280701755,2.308114035087719,2.549342105263158,2.650219298245614,2.3722587719298245,2.273026315789474,2.6348684210526314,2.2434210526315788,2.655701754385965,2.518640350877193,2.6677631578947367,2.844298245614035,2.625,2.5946637426900585,2.7883771929824563,2.611842105263158
202109,2.5909722222222222,2.56875,2.4784722222222224,2.7881944444444446,2.2944444444444443,2.7715277777777776,2.709953703703704,2.290277777777778,2.692361111111111,2.279166666666667,2.910416666666667,2.826388888888889,2.671527777777778,2.5532407407407405,2.6659722222222224,2.5909722222222222
202110,2.557588075880759,3.602981029810298,2.4871273712737128,2.6565040650406506,2.7018970189701896,2.598238482384824,2.4471544715447155,2.5589430894308944,2.4695121951219514,3.3021680216802167,2.7784552845528454,2.9410569105691056,2.745257452574526,2.5112917795844623,2.660569105691057,2.508807588075881
202111,2.3835294117647057,4.054117647058823,2.5341176470588236,2.368235294117647,2.676470588235294,2.303529411764706,2.4843137254901957,3.0870588235294116,2.5776470588235294,3.1023529411764708,2.4288235294117646,2.5976470588235294,2.7494117647058824,2.28078431372549,2.296470588235294,2.091764705882353
202112,2.4811827956989245,4.178091397849462,2.8568548387096775,2.399193548387097,2.556451612903226,2.267809139784946,2.563620071684588,2.8518145161290325,2.5188172043010755,3.013440860215054,2.682795698924731,2.4623655913978495,2.805779569892473,2.7993951612903225,2.475806451612903,2.512768817204301
