date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20170101,447.625,477.16666666666663,438.0,476.33333333333337,442.16666666666663,497.0,423.5,363.5,397.5,426.75,441.0,500.0,472.0,500.0,445.0,179.5
20170102,281.2708333333333,257.36111111111114,235.67361111111111,224.16666666666666,354.6805555555556,224.25,358.0833333333333,361.6666666666667,331.4583333333333,237.27083333333334,153.33333333333334,201.95833333333334,406.5416666666667,222.5,160.77083333333334,80.625
20170103,398.9375,367.59722222222223,377.5,284.5833333333333,391.09722222222223,336.5416666666667,446.2708333333333,456.22222222222223,463.6458333333333,312.2291666666667,245.75,301.125,331.7916666666667,207.58333333333334,168.77083333333334,119.10416666666667
20170104,431.3020833333333,400.65972222222223,419.3125,342.6666666666667,463.875,439.25,476.1041666666667,419.0763888888889,420.6875,371.1666666666667,226.29166666666666,310.75,447.875,226.54166666666666,170.75,120.54166666666667
20170105,269.59027777777777,272.29861111111114,268.48611111111114,285.13888888888886,272.9166666666667,301.9583333333333,275.3541666666667,260.0833333333333,300.5625,301.375,299.25,335.0416666666667,362.1041666666667,285.2916666666667,275.3541666666667,172.0625
20170106,258.90625,253.45833333333334,274.1666666666667,232.0,254.4027777777778,242.875,267.8958333333333,274.5833333333333,306.875,248.33333333333334,219.20833333333334,250.0,255.58333333333334,202.08333333333334,184.14583333333334,175.35416666666666
20170107,229.63541666666666,211.23611111111111,229.63194444444446,225.0,229.36111111111111,229.39583333333334,249.89583333333334,270.73611111111114,315.5,230.29166666666666,195.35416666666666,242.125,317.3333333333333,187.33333333333334,168.3125,118.375
20170108,69.96180555555556,57.388888888888886,33.48611111111111,41.07638888888889,125.22222222222223,69.04166666666667,185.54166666666666,176.61111111111111,100.35416666666667,87.70833333333333,31.083333333333332,165.41666666666666,110.54166666666667,61.75,67.85416666666667,41.0
20170109,57.579861111111114,56.71527777777778,48.614583333333336,40.11805555555555,58.166666666666664,52.666666666666664,101.29166666666667,67.32638888888889,54.333333333333336,40.0625,39.3125,44.9375,43.229166666666664,33.625,32.583333333333336,35.604166666666664
20170110,53.291666666666664,49.93055555555555,42.61111111111111,38.041666666666664,67.33333333333333,57.791666666666664,100.47916666666667,79.31944444444444,67.27083333333333,32.291666666666664,28.395833333333332,38.291666666666664,39.875,23.875,25.375,33.375
