date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20231123,0,SO2,1,3,2,3,2,2,3,1,3,2,1,6,2,,1,3,3,1,1,3,3,2,3,3,2,3,1,3,3,3,3,3,,1,3
20231123,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,0,NO2,9,11,6,8,12,5,7,4,9,4,8,5,6,,2,4,3,2,1,20,7,8,12,6,5,16,14,7,11,7,22,7,,7,6
20231123,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,0,O3,58,60,60,58,53,54,55,59,51,59,52,56,57,,49,54,55,67,66,,58,61,53,60,66,40,53,58,56,52,39,57,,63,61
20231123,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,0,CO,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.3,0.2,,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.3,0.2,0.2,,0.2,0.2
20231123,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,1,SO2,1,3,3,3,2,1,3,2,3,3,1,7,2,,1,1,1,1,1,3,3,2,3,3,2,3,3,3,3,3,3,1,,1,3
20231123,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,1,NO2,10,11,7,7,18,7,9,4,8,5,5,5,11,,3,4,1,2,2,13,4,9,12,4,5,10,7,8,10,8,8,7,,7,6
20231123,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,1,O3,54,56,56,55,44,51,49,57,50,57,52,55,45,,40,55,57,64,63,,60,58,51,58,62,41,59,55,54,49,53,56,,61,59
20231123,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,1,CO,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.3,0.2,,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.2,0.2,,0.2,0.1
20231123,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,2,SO2,1,3,2,1,2,2,3,2,3,2,1,7,2,,2,3,3,2,1,3,3,2,3,3,2,3,1,3,1,3,3,1,,1,3
20231123,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,2,NO2,7,8,4,4,13,4,5,3,5,4,2,2,15,,2,3,2,4,2,4,4,8,9,8,7,13,11,7,8,5,9,7,,7,6
20231123,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20231123,2,O3,54,59,62,59,46,49,54,61,53,59,57,59,42,,46,60,62,56,55,60,60,57,54,48,52,34,49,58,56,52,49,57,,63,62
20231123,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
