date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230610,0,SO2,3,3,2,3,3,1,3,2,1,2,3,3,3,3,3,3,3,3,1,3,3,2,3,3,1,2,1,3,3,3,3,2,3,2,1
20230610,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,0,NO2,14,14,18,13,10,13,17,18,29,10,14,15,5,14,3,3,3,8,6,6,4,15,17,8,11,32,46,42,32,61,20,3,24,46,1
20230610,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,0,O3,74,76,67,67,,69,74,61,52,94,74,78,77,57,82,83,84,73,78,76,78,55,37,75,73,38,31,39,48,26,68,89,43,42,103
20230610,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,0,CO,0.2,0.2,0.2,0.4,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.2,0.4,0.2,0.2,0.3,0.3,0.1
20230610,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,1,SO2,3,3,2,3,1,1,1,2,3,1,3,3,3,3,3,3,3,3,1,3,3,2,3,3,1,1,3,3,3,3,1,2,3,1,2
20230610,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,1,NO2,11,9,12,7,18,12,11,15,8,10,14,11,1,5,3,3,5,9,8,12,3,17,17,11,15,10,10,10,27,46,32,9,14,15,3
20230610,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,1,O3,76,79,69,70,,66,74,61,67,70,65,72,80,74,79,82,77,72,71,63,78,47,36,69,63,64,69,73,53,36,48,65,63,72,96
20230610,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,1,CO,0.2,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.1
20230610,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,2,SO2,3,3,2,3,3,1,1,2,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,1,1,3,3,3,3,1,3,3,1,1
20230610,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,2,NO2,16,15,17,11,39,20,33,20,10,12,17,15,2,4,3,3,4,6,5,9,3,15,14,11,14,15,11,11,33,50,44,14,53,22,7
20230610,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,2,O3,67,69,56,60,,53,45,45,60,63,56,61,79,79,72,83,79,63,69,68,79,42,36,64,56,56,65,66,45,31,24,51,11,55,71
20230610,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,2,CO,0.2,0.2,0.2,0.4,0.3,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.1
20230610,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,3,SO2,3,3,2,3,3,3,1,2,3,1,3,3,3,3,3,3,3,3,1,1,3,2,3,3,1,1,3,3,3,3,3,3,3,1,2
20230610,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,3,NO2,23,21,23,15,57,31,50,27,30,13,28,23,2,7,4,6,6,4,4,9,4,14,13,14,21,23,32,13,34,58,38,15,40,38,9
20230610,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,3,O3,53,43,48,49,18,37,23,28,32,62,39,50,75,71,65,69,63,60,62,70,76,43,36,58,47,42,40,57,31,21,25,45,17,35,74
20230610,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,3,CO,0.3,0.2,0.2,0.4,0.2,0.1,0.3,0.3,0.2,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.1
20230610,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,4,SO2,3,3,2,3,3,1,1,2,3,1,3,3,3,3,3,3,3,3,2,1,3,2,3,3,1,1,3,3,3,3,3,3,3,1,6
20230610,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,4,NO2,24,20,20,18,48,51,54,33,55,16,21,29,3,5,3,12,31,5,3,9,3,13,14,14,18,27,37,26,40,53,32,13,32,34,6
20230610,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,4,O3,53,35,45,40,36,19,18,18,5,55,45,39,73,72,78,55,28,59,61,67,80,41,31,63,57,37,39,37,22,23,21,50,25,35,73
20230610,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,4,CO,0.2,0.2,0.2,0.4,0.2,0.1,0.3,0.3,0.2,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2
20230610,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,5,SO2,3,3,2,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,1,1,3,3,3,3,1,3,3,1,3
20230610,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,5,NO2,15,24,18,17,33,29,61,43,42,25,38,51,2,4,3,8,25,9,4,6,3,11,10,14,16,23,17,27,67,76,52,9,19,48,6
20230610,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230610,5,O3,70,59,60,56,46,45,12,14,20,39,28,19,75,77,78,66,36,62,62,71,79,46,60,60,58,40,55,34,9,4,5,52,32,21,68
20230610,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
