date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230715,0,SO2,3,3,4,3,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,1,3,3,3,1,3,3,1,3
20230715,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,0,NO2,18,25,9,12,18,11,12,4,4,6,4,7,6,1,3,2,3,6,3,28,9,10,11,7,9,8,9,12,22,15,12,7,2,11,4
20230715,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,0,O3,65,36,68,69,57,79,81,82,71,81,76,82,85,87,90,93,94,89,91,22,36,81,50,80,79,65,74,68,42,67,86,82,78,80,75
20230715,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,0,CO,0.3,0.3,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.5,0.3,0.4,0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.3,0.1,0.2
20230715,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,1,SO2,3,3,4,3,1,1,2,1,3,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,2,3,3,3,1,3,3,1,3
20230715,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,1,NO2,20,21,12,12,26,11,14,6,5,6,5,10,5,1,2,2,3,7,3,8,4,7,10,5,7,6,8,1,20,14,30,7,2,20,4
20230715,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,1,O3,60,45,57,64,54,78,74,78,64,80,72,75,96,99,102,99,98,87,92,80,84,77,55,81,77,66,75,57,53,62,56,80,75,67,77
20230715,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,1,CO,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.6,0.3,0.3,0.2,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.1,0.2
20230715,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,2,SO2,3,3,4,3,1,1,3,2,3,1,3,3,3,3,1,3,3,3,3,1,1,2,3,3,2,3,3,4,1,1,3,3,4,1,1
20230715,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,2,NO2,9,33,16,19,14,7,19,8,8,7,4,13,5,1,2,2,3,7,3,3,2,6,7,6,9,5,3,7,18,13,30,7,2,21,4
20230715,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,2,O3,88,69,60,66,81,96,65,75,56,79,74,72,104,105,106,105,104,92,101,100,103,88,84,80,73,70,87,35,59,75,54,84,78,67,81
20230715,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,2,CO,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.2,0.6,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.1,0.2
20230715,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,3,SO2,1,3,5,3,2,3,3,2,3,1,3,3,3,3,1,3,3,3,3,1,3,1,3,3,1,3,2,1,3,3,3,3,1,3,3
20230715,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,3,NO2,14,25,10,15,21,8,11,7,6,10,5,12,8,2,2,2,3,6,3,3,3,5,6,7,9,5,5,8,12,9,9,7,2,12,4
20230715,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,3,O3,88,78,73,80,74,100,86,84,60,79,75,75,106,106,107,104,107,104,99,99,101,96,90,89,81,76,91,41,79,96,100,92,86,82,88
20230715,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,3,CO,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.5,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2
20230715,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,4,SO2,3,3,4,3,2,3,3,2,3,1,3,3,3,3,1,3,3,3,3,1,3,1,3,3,1,3,3,1,1,3,3,3,1,1,3
20230715,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230715,4,NO2,23,19,6,10,32,13,10,7,6,6,4,9,24,9,2,3,3,10,4,3,2,4,7,5,7,5,2,14,16,14,9,7,1,15,4
