date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230204,0,SO2,5,1,5,3,4,3,4,3,1,3,1,2,2,3,3,1,1,2,1,3,1,3,1,2,2,4,6,1,3,4,2,2,1,3,3
20230204,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,0,NO2,70,70,66,74,72,76,72,55,74,39,65,67,52,42,9,,13,28,23,34,29,32,34,61,50,75,73,73,64,74,65,34,43,61,9
20230204,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,0,O3,2,2,2,2,1,4,2,2,2,30,4,2,2,6,44,45,40,19,23,10,21,15,16,3,4,1,2,1,1,2,4,24,10,1,58
20230204,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,0,CO,0.9,0.7,0.8,0.7,0.8,0.9,0.9,0.7,1.1,0.4,1,0.7,0.8,0.6,0.3,0.2,0.4,0.5,0.4,0.5,0.4,0.6,0.8,0.7,0.6,1,1,0.8,0.6,0.8,1.3,0.5,0.5,0.5,0.2
20230204,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,1,SO2,6,1,4,3,6,4,3,3,1,2,2,3,3,3,3,2,1,2,1,3,1,3,3,2,2,8,9,1,2,4,2,1,1,3,4
20230204,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,1,NO2,68,69,66,74,70,71,73,53,71,14,72,70,11,34,6,19,45,25,22,38,37,23,30,57,41,82,77,74,77,78,60,17,31,60,8
20230204,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,1,O3,2,2,2,1,1,3,2,2,1,59,4,2,53,10,59,33,5,22,23,6,12,21,14,4,9,1,2,2,2,2,4,49,20,1,63
20230204,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,1,CO,0.9,0.8,1,0.8,1,0.7,1,0.8,1.1,0.2,1.1,0.9,0.2,0.5,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.7,0.6,0.5,1.1,1,0.8,0.7,1,1.3,0.3,0.4,0.4,0.2
20230204,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,2,SO2,6,1,4,4,8,4,3,3,1,2,3,3,3,3,1,2,3,2,1,3,1,3,3,1,1,7,8,2,1,5,4,1,1,3,2
20230204,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,2,NO2,62,68,66,75,68,69,72,54,72,51,69,69,7,17,5,35,41,32,20,44,48,25,27,49,35,78,76,75,68,77,65,49,11,63,9
20230204,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,2,O3,2,2,2,2,1,3,1,2,1,17,3,2,58,40,62,18,10,16,25,2,4,17,16,10,15,1,2,1,2,1,4,12,53,2,60
20230204,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,2,CO,1,0.9,1.2,0.8,1,0.7,0.9,0.8,1.2,0.4,1,0.8,0.2,0.3,0.2,0.3,0.2,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,1,1,0.8,0.7,0.8,1,0.4,0.2,0.5,0.2
20230204,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,3,SO2,3,3,5,4,7,3,3,3,2,4,2,3,3,3,3,,1,2,1,3,1,3,3,1,1,4,7,1,1,5,5,2,1,1,2
20230204,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,3,NO2,56,67,68,75,67,67,72,56,73,75,68,69,9,12,4,34,49,37,20,42,43,25,29,43,36,67,70,73,73,71,74,62,7,65,17
20230204,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,3,O3,2,2,3,2,1,3,1,2,2,2,3,1,55,45,56,14,2,11,24,2,6,18,13,13,14,1,2,2,2,1,3,2,57,1,43
20230204,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,3,CO,1,1,1,0.8,1.1,0.7,0.8,0.7,1.1,0.7,0.9,0.8,0.2,0.3,0.2,0.3,0.2,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.8,0.9,0.7,0.8,0.7,0.9,0.5,0.1,0.4,0.3
20230204,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,4,SO2,3,1,4,4,6,4,3,3,1,3,1,3,3,3,2,2,1,3,1,3,3,3,3,1,1,5,5,1,1,5,4,1,1,3,5
20230204,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,4,NO2,58,67,65,76,68,69,70,56,70,61,65,66,4,39,7,47,43,38,22,37,35,27,24,47,44,66,69,73,61,69,73,60,9,63,7
20230204,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,4,O3,2,3,3,2,1,3,1,2,2,24,3,3,60,5,55,1,2,15,24,5,17,9,13,6,4,1,2,1,2,1,3,2,55,1,52
20230204,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,4,CO,1.4,1,0.9,0.8,0.9,0.9,0.9,0.7,0.7,0.5,0.9,0.7,0.2,0.5,0.3,0.3,0.2,0.5,0.3,0.5,0.3,0.6,0.6,0.5,0.5,0.8,0.8,0.7,0.7,0.8,0.8,0.5,0.1,0.5,0.2
20230204,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,5,SO2,4,3,4,3,6,3,2,3,1,2,1,2,1,3,2,1,1,2,1,3,1,3,3,1,1,3,8,1,1,4,5,1,4,3,5
20230204,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,5,NO2,60,66,64,71,63,65,69,49,78,55,62,54,8,44,9,33,38,34,19,38,18,30,24,51,39,64,63,67,66,70,81,56,24,60,6
20230204,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,5,O3,2,2,2,2,1,3,1,2,1,17,3,11,52,2,53,7,1,13,27,4,37,9,13,2,7,1,2,1,2,1,3,2,34,1,53
20230204,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,5,CO,1,0.9,1,0.8,0.9,0.8,1,0.6,0.8,0.4,0.9,0.6,0.2,0.6,0.3,0.4,0.5,0.4,0.3,0.4,0.2,0.6,0.6,0.5,0.5,0.8,0.7,0.8,0.7,0.9,0.8,0.5,1.2,0.4,0.2
20230204,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,6,SO2,2,3,3,2,5,3,2,3,1,2,1,2,1,3,3,1,3,2,3,3,1,4,3,1,1,2,4,1,1,5,4,3,3,3,7
20230204,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,6,NO2,63,64,62,70,64,66,69,45,68,37,60,64,12,33,11,33,30,36,17,35,10,27,30,39,30,63,62,65,72,71,72,42,23,56,15
20230204,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,6,O3,2,2,3,3,1,3,1,2,1,25,3,3,46,8,50,7,3,12,24,7,47,13,8,17,18,1,2,1,1,1,3,18,31,1,42
20230204,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,6,CO,0.9,0.7,1,0.7,1,0.6,1.1,0.6,0.9,0.4,0.9,1,0.2,0.4,0.3,0.5,0.7,0.4,0.3,0.4,0.2,0.5,0.6,0.4,0.4,0.8,0.7,0.8,0.7,1.1,1,0.3,0.7,0.3,0.3
20230204,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,7,SO2,2,3,3,2,3,3,2,3,2,2,3,2,2,1,3,1,3,2,3,3,3,4,3,1,1,2,3,1,2,5,4,1,1,3,7
20230204,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,7,NO2,59,63,65,60,62,65,69,45,81,31,58,64,21,45,10,26,26,38,15,39,8,28,32,24,23,62,63,70,64,73,71,49,18,47,18
20230204,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,7,O3,2,2,3,5,1,3,1,2,1,28,3,2,37,7,51,13,5,12,28,5,48,15,8,31,25,1,2,1,2,1,3,9,28,5,39
20230204,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,7,CO,0.8,0.7,0.6,0.5,0.9,0.6,0.9,0.6,0.8,0.4,0.9,1.2,0.3,0.7,0.3,0.6,0.9,0.4,0.3,0.5,0.2,0.6,0.6,0.3,0.4,0.7,0.6,0.8,0.8,1,1.1,0.7,0.2,0.2,0.3
20230204,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,8,SO2,1,3,3,2,2,3,2,3,1,2,3,2,5,2,3,1,3,2,3,3,1,4,3,1,1,3,3,1,2,4,5,1,1,3,8
20230204,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,8,NO2,54,59,63,69,59,64,67,49,73,36,56,64,49,59,10,27,26,42,12,37,14,38,30,25,15,59,59,70,68,72,81,38,29,45,22
20230204,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,8,O3,5,2,3,3,1,3,2,2,1,26,6,3,8,2,51,9,6,8,30,9,43,7,12,35,38,2,1,2,2,2,4,18,20,6,34
20230204,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,8,CO,0.9,0.8,0.7,0.8,0.8,0.6,0.9,0.7,0.9,0.4,0.7,0.8,0.9,1.1,0.3,1,1,0.6,0.2,0.5,0.2,0.6,0.7,0.3,0.3,0.7,0.6,0.8,0.8,1,1.3,0.5,0.3,0.2,0.4
20230204,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,9,SO2,1,1,4,2,1,2,3,1,2,2,1,2,3,2,3,2,1,5,1,3,3,5,3,3,1,7,5,2,3,5,6,1,1,3,2
20230204,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,9,NO2,40,60,61,65,53,58,69,52,68,40,48,58,24,54,10,19,16,45,17,28,21,30,23,22,12,57,49,69,62,72,73,38,25,45,22
20230204,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,9,O3,17,6,9,7,6,8,3,4,4,23,15,10,35,2,52,22,20,14,33,25,33,21,28,40,44,8,10,3,5,4,4,22,28,11,32
20230204,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,9,CO,0.9,0.8,1,0.8,0.7,0.5,0.9,0.8,1.1,0.5,0.8,1.3,0.4,1,0.3,0.7,1,0.7,0.3,0.5,0.2,0.5,0.5,0.3,0.3,0.6,0.5,1.1,0.8,1,1.1,0.6,0.3,0.3,0.5
20230204,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,10,SO2,1,2,4,3,2,2,4,3,3,3,2,3,2,3,3,3,3,2,2,3,1,5,1,3,1,5,4,4,4,6,6,1,1,1,1
20230204,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,10,NO2,35,46,44,47,34,51,61,56,63,38,50,57,11,31,7,19,17,32,26,22,6,36,23,10,10,47,46,69,62,73,69,21,13,45,11
20230204,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,10,O3,27,24,26,26,27,19,10,11,14,26,22,16,51,33,59,30,32,29,35,31,55,21,37,56,47,21,16,9,14,8,8,43,48,18,48
20230204,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,10,CO,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.8,0.5,0.8,0.7,0.3,0.6,0.3,0.6,0.6,0.4,0.3,0.4,0.1,0.5,0.4,0.2,0.3,0.5,0.5,1,0.7,0.9,0.8,0.4,0.2,0.4,0.3
20230204,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,11,SO2,1,2,3,3,3,3,3,3,3,4,2,4,1,1,2,5,5,2,1,3,3,4,1,3,1,3,3,5,3,6,4,2,4,2,4
20230204,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,11,NO2,25,34,32,39,31,31,43,38,53,40,45,48,7,8,5,18,15,17,15,17,5,31,18,8,9,42,41,50,45,52,45,30,23,44,28
20230204,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230204,11,O3,38,,43,36,33,39,25,27,28,33,30,27,61,66,63,41,47,46,50,39,57,31,48,60,51,28,25,28,32,22,27,40,46,26,63
20230204,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
