date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230312,0,SO2,3,3,3,3,1,3,1,3,3,3,3,3,1,3,3,1,3,3,3,3,1,1,1,3,3,3,1,1,3,3,3,3,2,1,3
20230312,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,0,NO2,3,4,1,5,6,3,7,2,3,1,2,3,3,2,3,2,2,2,2,5,2,4,5,2,2,7,2,5,2,4,21,7,7,2,1
20230312,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,0,O3,79,69,85,69,67,68,56,72,74,87,77,71,79,74,75,71,71,70,78,68,68,60,67,76,78,56,69,72,75,73,18,86,77,78,84
20230312,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,0,CO,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.1
20230312,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,1,SO2,3,3,2,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,1,1,3
20230312,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,1,NO2,3,2,3,6,8,4,8,2,2,2,2,4,3,2,3,2,2,2,2,4,2,3,5,3,3,6,2,4,3,6,14,7,7,2,1
20230312,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,1,O3,77,69,80,66,64,68,54,67,73,84,74,69,78,75,75,72,72,69,76,71,73,60,67,70,75,55,67,76,73,70,25,82,75,77,81
20230312,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,1,CO,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,2,SO2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,2,1,3
20230312,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,2,NO2,3,2,5,8,7,3,9,1,2,2,2,4,2,2,3,2,2,2,2,4,2,2,6,1,1,6,2,5,3,4,13,6,7,2,1
20230312,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,2,O3,77,68,78,64,64,68,54,67,70,81,75,69,78,73,74,72,73,68,76,69,74,64,69,74,79,55,66,70,73,72,25,81,74,76,80
20230312,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,2,CO,0.1,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,3,SO2,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,1,1,1
20230312,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,3,NO2,3,2,5,9,8,2,8,2,1,2,2,2,2,2,3,2,2,2,2,4,2,2,6,1,1,6,1,3,3,4,12,6,8,2,1
20230312,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,3,O3,77,67,78,63,63,67,55,68,73,81,77,71,78,74,75,73,73,68,75,70,74,66,72,74,79,58,66,75,73,71,26,81,73,77,80
20230312,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,3,CO,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1
20230312,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,4,SO2,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,2,1,3
20230312,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,4,NO2,3,3,4,9,8,4,6,2,1,2,2,2,2,1,2,2,2,2,2,7,2,2,5,2,2,5,2,3,3,6,12,6,7,1,1
20230312,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,4,O3,78,66,79,59,61,66,58,71,73,76,76,70,79,74,76,74,74,68,75,63,75,67,73,72,77,57,63,77,73,70,24,79,74,78,83
20230312,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,4,CO,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1
20230312,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,5,SO2,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,1,1,1
20230312,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,5,NO2,6,2,2,3,14,4,6,2,1,2,2,2,1,1,2,2,2,2,2,3,2,1,6,2,2,5,2,5,4,6,12,3,7,1,1
20230312,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,5,O3,74,69,85,66,57,66,60,71,73,81,76,71,80,74,77,75,77,69,77,71,75,66,70,76,81,62,69,75,72,70,24,84,76,80,83
20230312,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,5,CO,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.3,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,6,SO2,3,3,3,3,1,1,1,3,3,3,3,3,1,1,3,1,3,3,3,3,1,1,3,1,1,3,3,1,3,3,3,3,2,1,1
20230312,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,6,NO2,6,2,1,5,9,4,6,2,1,2,2,1,7,4,3,2,2,2,2,5,2,2,7,2,3,5,1,5,4,5,12,4,8,2,1
20230312,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,6,O3,77,73,85,67,66,67,60,72,74,82,77,71,73,71,76,74,75,69,77,70,74,64,69,76,81,63,70,76,76,73,25,84,75,80,84
20230312,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,6,CO,0.1,0.2,0.1,0.2,0.1,0.3,0.2,0.2,0.2,0.1,0.3,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,7,SO2,3,3,3,3,1,1,1,3,3,3,3,3,1,1,3,1,3,3,3,3,1,1,3,1,1,3,3,1,1,3,3,3,2,1,2
20230312,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,7,NO2,5,2,3,6,6,6,6,2,2,1,2,2,10,7,5,2,2,1,2,6,2,3,9,2,2,7,3,4,4,3,12,3,7,3,2
20230312,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,7,O3,76,70,81,66,67,64,60,71,72,84,78,72,66,66,70,72,73,68,76,69,72,64,68,75,80,62,67,77,74,75,24,84,77,78,84
20230312,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,7,CO,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,8,SO2,3,3,3,3,1,1,1,3,3,3,3,3,1,1,3,1,3,3,3,3,1,1,3,3,3,3,3,1,1,3,3,3,1,1,1
20230312,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,8,NO2,6,1,3,6,5,5,6,2,1,1,2,2,8,5,5,2,2,2,2,7,1,6,12,3,4,10,6,7,5,3,13,4,7,2,2
20230312,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,8,O3,74,70,82,66,68,65,60,72,74,83,77,72,70,67,70,72,72,68,75,68,72,63,61,74,78,59,61,74,73,73,23,83,76,80,84
20230312,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,8,CO,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,9,SO2,3,1,3,3,1,3,1,1,3,3,3,3,1,1,3,1,3,3,3,3,1,1,3,1,3,1,1,1,1,3,3,3,2,1,3
20230312,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,9,NO2,4,2,2,6,4,4,7,2,1,1,2,2,6,4,4,2,2,2,2,3,2,4,8,3,3,8,3,6,5,2,13,3,7,3,1
20230312,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,9,O3,78,73,85,67,70,68,59,73,76,85,78,73,73,69,73,74,74,68,76,73,75,66,71,74,78,56,64,76,74,75,21,84,77,79,85
20230312,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,9,CO,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,10,SO2,3,1,3,3,2,1,1,1,3,3,3,3,1,1,3,1,3,3,3,3,1,1,1,3,3,3,3,1,1,1,3,3,2,1,1
20230312,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,10,NO2,4,1,3,5,3,5,7,2,2,1,2,2,4,3,3,2,1,2,2,3,1,3,7,2,2,6,1,5,3,3,11,3,8,3,2
20230312,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,10,O3,80,74,87,69,71,70,58,73,75,86,78,74,77,73,76,75,75,69,77,75,76,66,75,77,80,60,68,77,77,76,26,84,78,81,84
20230312,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,10,CO,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.4,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,11,SO2,3,1,3,3,1,1,1,1,3,3,3,3,2,1,3,1,3,3,3,,1,1,3,1,3,3,3,1,1,2,3,3,2,1,1
20230312,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,11,NO2,4,3,4,6,3,6,7,2,2,2,2,1,4,4,3,2,2,1,1,5,3,3,6,2,2,6,1,5,4,4,11,4,9,3,3
20230312,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,11,O3,82,74,88,69,72,71,58,74,76,87,79,73,78,75,79,77,76,70,77,71,77,69,76,78,81,65,68,79,78,77,26,84,79,83,85
20230312,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,11,CO,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.4,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
20230312,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230312,12,SO2,3,1,4,3,1,1,1,1,3,3,3,3,2,2,3,1,3,3,3,1,1,1,3,1,3,3,3,1,1,1,3,3,2,1,3
20230312,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
