date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230908,0,SO2,3,3,3,3,,3,1,3,3,4,3,3,3,,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,,1,7
20230908,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,0,NO2,18,23,17,32,,21,22,15,28,18,32,24,19,,9,8,9,23,18,9,13,9,6,31,25,34,44,17,13,27,45,31,,28,9
20230908,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,0,O3,130,105,141,104,,127,112,58,74,63,75,76,99,,67,120,108,86,80,140,82,136,123,56,71,59,59,112,84,97,62,69,,103,101
20230908,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,0,CO,0.7,0.7,0.6,0.9,,0.8,0.6,0.7,0.6,0.7,0.8,0.6,0.7,,0.7,0.6,0.6,0.8,0.8,1,0.7,0.9,1.3,0.8,1,0.9,0.9,0.8,0.8,0.8,1.2,0.7,,0.7,0.6
20230908,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,1,SO2,3,3,3,3,,1,1,2,3,4,3,3,3,,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,,1,7
20230908,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,1,NO2,20,26,21,31,,23,38,25,30,26,40,22,14,,9,10,11,19,20,8,12,7,6,29,24,29,40,33,13,38,41,14,,28,8
20230908,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,1,O3,113,89,123,86,,106,89,35,64,45,59,72,91,,59,101,86,103,95,131,71,124,114,53,68,63,66,73,61,58,46,90,,92,91
20230908,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,1,CO,0.7,0.7,0.6,0.9,,0.8,0.6,0.7,0.7,0.7,0.8,0.6,0.7,,0.7,0.6,0.6,1.1,1.2,1.1,0.7,0.9,1.3,1,1.2,1.1,1.1,0.8,0.8,0.9,1.1,0.6,,0.7,0.6
20230908,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230908,2,SO2,3,3,3,3,,3,3,2,3,4,3,3,3,,3,3,3,1,3,3,3,2,3,1,4,3,3,3,3,2,3,3,,1,3
20230908,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
