date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230309,0,SO2,2,2,5,3,1,2,3,1,1,2,2,1,3,2,1,2,1,2,1,3,2,4,2,2,2,2,2,1,2,1,3,2,3,3,1
20230309,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,0,NO2,31,33,32,36,30,34,34,34,32,30,44,26,27,26,13,12,10,24,29,25,19,19,24,25,20,33,31,39,35,41,41,33,40,35,16
20230309,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,0,O3,40,36,45,32,40,39,35,30,39,45,35,36,50,45,64,77,74,48,48,48,56,54,49,52,52,36,36,26,38,31,30,48,42,28,60
20230309,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,0,CO,0.4,0.3,0.2,0.5,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.2,0.2,0.4,0.5,0.5,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3
20230309,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,1,SO2,2,1,5,3,1,2,3,1,1,2,2,1,3,2,1,1,3,1,3,3,2,3,1,2,2,2,2,1,2,1,3,2,3,3,1
20230309,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,1,NO2,37,41,34,40,41,52,39,37,43,32,42,28,27,26,16,12,10,24,32,28,20,25,20,30,25,35,37,44,41,39,57,43,38,35,15
20230309,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,1,O3,31,26,37,25,29,22,26,19,25,34,31,32,47,43,51,70,64,45,43,41,51,38,41,46,41,32,27,19,29,33,12,26,37,25,59
20230309,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230309,1,CO,0.4,0.4,0.3,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0.4,0.5,0.5,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.3
