date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210322,0,SO2,2,3,3,2,3,1,1,3,1,1,1,2,3,3,3,2,2,3,3,2,3,3,3,2,2,1,2,5,1,2,1,1,3,2,2
20210322,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,0,NO2,30,31,40,51,61,46,50,42,64,18,58,61,9,26,5,15,14,6,6,52,24,28,24,83,79,51,54,40,62,53,36,30,42,64,10
20210322,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,0,O3,37,22,24,22,16,37,19,8,9,45,2,4,48,22,49,53,55,53,54,2,28,35,23,5,1,24,17,28,5,19,36,28,3,11,51
20210322,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,0,CO,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.3,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.9,0.3,0.2,0.3,0.5,0.5,0.3,0.3,0.5,0.3,0.3,0.3,0.4,0.8,0.8,0.2
20210322,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,1,SO2,1,3,2,1,1,1,1,3,1,1,3,2,3,3,3,2,3,3,3,1,1,3,3,1,2,2,2,5,2,2,1,1,3,1,2
20210322,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,1,NO2,38,49,39,50,57,51,63,38,46,20,56,64,15,13,5,22,20,3,2,50,50,27,19,80,74,53,56,35,52,51,47,32,40,69,9
20210322,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,1,O3,27,17,23,16,17,30,3,13,21,40,2,2,36,28,46,43,47,55,63,2,2,31,24,2,2,18,12,32,12,18,24,23,2,4,51
20210322,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,1,CO,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.2,0.3,0.5,0.3,0.3,0.3,0.5,0.9,0.8,0.2
20210322,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,2,SO2,1,3,2,1,3,3,1,3,1,1,3,2,3,3,3,4,5,3,3,3,3,3,3,2,2,2,3,5,2,2,1,1,3,3,2
20210322,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,2,NO2,44,55,40,60,62,54,48,49,65,20,54,64,43,18,6,15,15,2,3,53,30,34,15,81,70,54,51,26,29,44,38,51,38,56,12
20210322,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,2,O3,20,10,20,8,9,24,19,4,1,35,2,4,14,18,46,51,53,58,54,2,15,24,27,2,2,14,15,39,33,23,32,3,4,13,48
20210322,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,2,CO,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.5,0.5,0.2,0.3,0.5,0.3,0.3,0.3,0.5,0.8,0.8,0.2
20210322,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,3,SO2,1,3,2,1,3,3,1,3,1,3,3,2,1,3,3,5,6,3,3,3,3,3,3,1,1,1,3,3,2,2,2,1,3,3,1
20210322,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,3,NO2,48,58,42,60,62,44,44,20,68,35,54,60,34,23,7,16,15,5,7,51,21,47,16,59,53,56,53,25,30,30,30,37,34,46,9
20210322,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,3,O3,14,3,16,5,7,31,20,32,2,23,2,5,31,33,47,49,52,51,47,2,19,4,18,14,13,11,11,37,30,35,36,17,7,21,51
20210322,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,3,CO,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.3,0.3,0.3,0.4,0.6,0.7,0.2
20210322,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,4,SO2,1,3,3,2,1,3,1,3,1,3,3,1,1,1,3,5,6,3,3,3,3,1,3,1,1,1,2,4,2,1,1,1,3,1,1
20210322,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,4,NO2,49,53,42,62,60,56,45,4,67,34,11,47,33,11,11,17,17,9,5,42,19,42,26,56,48,56,46,27,34,34,27,14,39,33,8
20210322,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,4,O3,11,7,15,2,7,18,17,51,2,24,52,18,31,56,44,47,49,42,48,1,21,6,5,14,14,10,15,34,26,29,38,64,10,36,51
20210322,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,4,CO,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.4,0.4,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.5,0.3,0.3,0.3,0.3,0.4,0.7,0.3
20210322,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,5,SO2,1,3,3,1,1,3,3,3,1,3,3,1,1,1,3,4,6,3,3,3,3,3,3,1,1,1,2,6,2,1,2,1,3,2,1
20210322,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,5,NO2,49,46,53,,,72,36,2,67,38,4,10,34,9,11,12,12,31,27,41,20,25,29,68,58,60,47,27,34,33,25,8,12,36,14
20210322,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,5,O3,11,11,2,2,4,5,27,58,2,20,61,60,31,58,46,52,55,21,25,2,22,25,3,3,4,4,12,33,23,27,40,66,53,34,40
20210322,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,5,CO,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.6,0.3,0.3,0.3,0.2,0.3,0.7,0.3
20210322,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,6,SO2,1,3,2,1,3,3,1,3,1,3,3,1,1,1,3,5,6,3,3,3,3,3,3,1,1,1,1,5,3,2,2,3,3,2,1
20210322,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210322,6,NO2,42,41,53,58,58,61,40,3,65,34,10,19,22,10,9,12,12,47,48,34,22,22,32,59,57,58,48,30,36,40,25,9,6,49,14
