date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210324,0,SO2,7,2,7,5,5,9,4,3,4,5,3,6,3,1,1,1,2,3,1,1,1,1,2,2,4,4,5,7,4,6,5,2,1,3,1
20210324,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,0,NO2,50,41,67,51,67,52,84,60,102,35,74,85,30,34,18,38,51,26,19,62,24,28,24,76,58,50,63,40,45,43,31,74,39,86,22
20210324,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,0,O3,47,48,25,40,35,61,12,9,6,49,5,11,52,32,58,40,21,43,55,6,48,52,51,18,27,57,40,53,48,59,,9,28,20,56
20210324,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,0,CO,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.4,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.7,0.6,0.5,0.5,0.8,0.6,0.6,,0.7,0.8,0.6,0.4
20210324,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,1,SO2,5,1,6,3,4,6,3,3,3,3,2,5,3,1,2,1,2,3,3,1,1,3,1,2,2,2,5,5,3,5,4,2,1,3,1
20210324,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,1,NO2,72,46,80,75,92,78,79,51,96,31,78,94,53,33,19,36,42,24,18,65,19,25,26,62,72,94,116,51,47,50,34,48,36,92,15
20210324,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,1,O3,23,26,6,12,8,,7,16,2,54,2,3,22,19,58,36,27,41,48,2,57,50,43,24,9,9,2,37,38,45,,29,29,7,61
20210324,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,1,CO,0.6,0.7,0.6,0.7,0.7,0.8,0.5,0.5,0.6,0.4,0.7,0.6,0.5,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.8,0.6,0.6,,0.6,0.7,0.5,0.4
20210324,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,2,SO2,3,1,4,2,3,4,3,3,3,3,2,4,3,1,1,3,2,3,1,1,2,1,1,1,2,2,4,2,2,5,3,1,1,2,1
20210324,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,2,NO2,96,64,83,90,96,113,79,58,79,45,74,94,62,42,12,46,55,21,15,54,16,23,26,79,75,102,102,60,59,62,90,25,21,91,16
20210324,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,2,O3,3,7,2,2,1,1,5,13,14,38,2,3,10,8,60,16,8,42,51,10,58,51,32,7,2,1,2,22,19,29,,51,51,3,59
20210324,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,2,CO,0.7,0.7,0.5,0.7,0.7,0.9,0.5,0.4,0.6,0.4,0.6,0.6,0.5,0.4,0.3,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.8,0.6,0.6,,0.4,0.5,0.5,0.3
20210324,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,3,SO2,3,1,5,1,2,4,3,3,3,3,2,4,3,1,1,1,3,3,3,1,1,1,1,3,1,2,3,2,1,3,2,1,3,2,3
20210324,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,3,NO2,98,73,86,86,91,114,82,79,77,49,55,75,34,52,3,62,50,25,14,41,17,35,34,73,65,96,102,75,66,71,89,23,33,90,14
20210324,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,3,O3,1,2,2,2,1,1,1,2,15,28,16,14,35,1,74,2,3,34,42,23,56,34,19,9,8,1,2,5,8,16,,51,19,,55
20210324,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,3,CO,0.6,0.7,0.6,0.8,0.7,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.2,0.7,0.9,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.9,0.6,0.6,,0.4,1,0.6,0.3
20210324,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,4,SO2,3,1,5,1,2,4,3,3,2,2,1,3,2,1,1,1,3,3,3,1,1,1,3,3,2,1,3,2,2,5,2,1,3,2,3
20210324,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,4,NO2,88,68,64,86,71,112,77,77,91,70,63,74,20,27,5,55,42,24,13,38,13,23,31,48,47,84,94,93,86,100,74,19,28,87,9
20210324,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,4,O3,3,2,14,2,17,1,1,2,1,6,5,13,51,34,69,3,4,31,39,28,56,44,20,31,25,2,2,2,1,2,,50,22,3,57
20210324,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,4,CO,0.5,0.7,0.5,0.7,0.5,0.8,0.5,0.4,0.6,0.5,0.5,0.4,0.3,0.2,0.2,0.8,1.1,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.6,0.6,0.9,0.7,0.8,,0.4,0.8,0.5,0.4
20210324,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,5,SO2,3,1,4,2,1,3,2,3,2,2,1,3,2,2,1,1,3,3,3,1,1,3,1,3,1,1,3,2,2,4,2,1,1,2,3
20210324,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,5,NO2,82,75,52,,,102,77,71,90,68,68,69,16,15,4,53,45,27,12,23,13,27,23,26,30,79,86,99,94,100,74,28,38,84,9
20210324,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210324,5,O3,6,2,21,4,12,1,1,2,2,11,1,16,50,48,65,2,6,33,42,40,52,38,27,47,38,1,2,2,1,2,,39,15,10,56
20210324,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
