date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20211130,0,SO2,3,1,3,3,3,1,3,3,1,1,3,1,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,3
20211130,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,0,NO2,49,35,56,53,50,45,30,32,46,44,53,52,37,34,9,19,31,9,7,38,9,20,23,47,46,44,39,38,38,51,50,41,41,39,19
20211130,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,0,O3,2,2,2,2,4,4,2,3,2,2,2,2,6,4,25,24,7,23,26,2,20,8,9,2,2,5,10,4,1,2,2,3,5,1,15
20211130,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,0,CO,0.7,0.7,0.6,0.7,0.5,0.5,0.7,0.5,0.8,0.5,0.6,0.7,0.5,0.6,0.3,0.4,0.6,0.3,0.4,0.6,0.3,0.5,0.3,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.4,0.8,0.8,0.7,0.5
20211130,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,1,SO2,3,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,2,3,3,4,3,3,3,1,3,3,3,3,3,,2,3,1,3,3
20211130,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,1,NO2,35,35,30,45,32,39,13,7,30,17,15,21,20,31,11,15,33,7,7,35,11,20,24,45,42,49,49,42,45,49,48,8,12,34,9
20211130,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,1,O3,16,11,21,11,30,11,36,48,23,37,39,31,25,7,45,33,6,27,27,2,14,8,5,2,2,4,1,3,2,,2,57,49,15,43
20211130,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211130,1,CO,0.6,0.6,0.4,0.7,0.3,0.5,0.3,0.3,0.6,0.3,0.4,0.5,0.4,0.6,0.3,0.4,0.7,0.3,0.4,0.6,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.3,0.3,0.6,0.3
20211130,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
