year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,55.448061237799585,61.08574981226601,52.344376807143824,68.32155151392789,56.10728531886501,65.15976866374679,56.22917137761254,75.34432363868737,77.77316385747687,67.45269533495133,69.45284366945583,76.35262030889503,84.36420285739422,69.58490118086327
2015,57.27342065110531,53.26573579277695,46.45532784325986,60.53337886423907,51.95316068600144,59.098073810044504,53.842183824449556,65.04503492541106,64.47661601752631,57.899186654423595,70.70041610337825,60.567112381586895,69.39368951481002,64.0827476393253
2016,54.84451885645168,52.4051252593994,48.73411148177642,59.67011161274405,52.02522069918222,59.93454033639136,59.62495196097984,59.460041621138146,61.58622444083025,56.16895127348756,72.11350987863433,53.4813595610349,66.7857419790227,64.42178149683711
2017,57.932487677059505,58.92196788538518,54.015335694128645,58.722013563584234,59.06671439454333,58.47289004518125,58.0858013624034,62.990624068414064,64.86536038948854,72.84803656081488,75.88808282969119,71.38502175847096,72.7250479945509,61.72281805901904
2018,55.01056574501726,56.5488554547325,53.523853738556376,62.9830474569708,60.07836622213225,56.21221279015998,58.422525844179894,69.18531550457492,67.587092432081,68.27962711127681,78.30121822017131,66.61575705850656,75.4686243723336,59.41042131320626
2019,56.13354411745909,54.86146839610988,57.90668905904903,59.289785785078756,62.14164232771108,59.18866355084355,55.77081182660816,59.81306006028783,66.571025279618,68.20685107374184,72.56682836001802,66.2047739057541,72.77823110161552,60.31235480543089
2020,55.5986439985113,54.24793789646936,57.7081614911242,58.61011318879171,59.16590627511378,58.795007281464756,52.54160287031181,58.97104396980683,65.93194177207816,65.88992104860051,69.99317369617155,67.7771294605076,68.53786054192975,59.281930870083784
2021,56.42836571954888,50.255569944004826,54.02076256381807,52.53006966191688,60.66086887463575,50.941573110128395,51.80525309939188,55.68280540023442,59.78731556578749,56.627820168145114,61.169419842720465,62.88216831374262,55.78976263315503,62.459546817717545
2022,65.39102674845986,57.478452535326234,65.07148257899095,63.74287326864296,69.86237142306166,59.38172780122404,59.71357963567029,63.17389948395468,68.41507313630073,64.87184568340365,68.34181468690726,72.07211981999049,65.27702073308849,68.7070644033955
2023,62.24591272294472,59.4446579088139,61.690171620145975,62.95257045802283,70.03466457548483,60.62554438423111,60.01566416092081,67.88635335449267,66.48088799973975,64.01029407227155,71.46894055979408,72.43641934815425,68.14879530346458,66.4074911090171
