date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20170101,138.875,156.66666666666669,122.16666666666666,168.33333333333331,137.66666666666669,155.5,127.75,109.33333333333334,129.25,120.75,144.25,167.5,126.5,137.5,96.5,77.5
20170102,119.1875,112.80555555555556,94.27777777777777,97.375,122.95833333333333,91.08333333333333,122.10416666666667,119.68055555555556,133.45833333333334,91.91666666666667,64.3125,78.41666666666667,114.70833333333333,92.70833333333333,53.791666666666664,54.0
20170103,166.70833333333334,166.875,159.11805555555557,138.11111111111111,154.67361111111111,142.95833333333334,149.60416666666666,141.39583333333334,179.35416666666666,126.125,103.0,113.5,117.58333333333333,77.39583333333333,53.479166666666664,67.6875
20170104,172.02430555555554,175.77083333333334,154.35416666666666,158.51388888888889,178.36111111111111,188.29166666666666,169.72916666666666,151.03472222222223,155.60416666666666,137.875,102.72916666666667,144.91666666666666,140.125,94.27083333333333,63.041666666666664,79.72916666666667
20170105,123.27430555555556,121.03472222222223,107.83333333333333,118.65972222222223,118.55555555555556,120.83333333333333,116.83333333333333,114.65277777777777,125.54166666666667,107.625,106.91666666666667,118.5,114.16666666666667,89.58333333333333,91.45833333333333,76.5625
20170106,124.98958333333333,129.46527777777777,119.03472222222223,109.3611111111111,116.27777777777777,101.16666666666667,91.1875,113.18055555555556,126.1875,87.625,79.25,87.45833333333333,77.29166666666667,64.54166666666667,53.666666666666664,66.8125
20170107,98.86458333333333,90.125,89.80555555555556,99.7986111111111,97.4861111111111,100.83333333333333,89.91666666666667,99.04166666666667,105.875,71.58333333333333,61.958333333333336,89.29166666666667,79.16666666666667,52.916666666666664,41.5625,48.229166666666664
20170108,49.00694444444445,46.40277777777778,29.8125,32.34722222222222,60.76388888888889,39.291666666666664,66.5,66.09722222222221,46.8125,33.583333333333336,19.083333333333332,19.5,32.208333333333336,26.666666666666668,20.979166666666668,29.8125
20170109,43.63194444444445,43.40277777777778,39.10069444444444,36.77777777777778,44.111111111111114,39.208333333333336,51.291666666666664,40.229166666666664,39.708333333333336,35.625,25.083333333333332,31.770833333333332,38.270833333333336,26.729166666666668,22.770833333333332,30.125
20170110,44.791666666666664,44.611111111111114,43.25694444444445,33.07638888888889,44.541666666666664,33.791666666666664,47.208333333333336,43.736111111111114,47.104166666666664,27.75,17.125,24.333333333333332,22.708333333333332,10.375,14.083333333333334,28.479166666666668
20170111,95.84375,96.02083333333333,88.8125,97.3263888888889,87.29166666666667,78.33333333333333,78.02083333333333,93.30555555555556,100.0625,54.9375,33.104166666666664,58.916666666666664,46.208333333333336,35.729166666666664,28.979166666666668,44.125
20170112,67.41666666666667,64.56944444444444,63.638888888888886,46.4375,65.55555555555556,55.541666666666664,83.95833333333333,88.30555555555556,83.35416666666667,52.875,24.979166666666668,54.708333333333336,48.083333333333336,31.3125,24.1875,33.5
20170113,29.375,31.902777777777775,26.729166666666668,23.965277777777775,32.125,26.125,32.541666666666664,32.84722222222222,34.270833333333336,17.541666666666668,14.3125,16.416666666666668,15.458333333333334,18.708333333333332,14.708333333333334,33.291666666666664
20170114,54.58680555555555,55.416666666666664,55.19444444444445,60.30555555555555,62.06944444444445,65.20833333333333,63.3125,55.180555555555564,44.395833333333336,30.729166666666668,31.916666666666668,54.791666666666664,31.6875,32.833333333333336,23.729166666666668,53.5625
20170115,56.27430555555555,54.49305555555555,54.923611111111114,65.16666666666667,55.90277777777778,56.0,52.1875,51.80555555555555,60.395833333333336,51.0625,54.270833333333336,54.375,43.416666666666664,56.708333333333336,46.0,62.145833333333336
20170116,75.26041666666667,78.52083333333333,75.93055555555556,80.93055555555556,78.90277777777779,83.58333333333333,68.27083333333333,70.33333333333333,76.0,61.104166666666664,65.0625,75.70833333333333,53.708333333333336,54.416666666666664,42.75,58.041666666666664
20170117,81.95833333333333,86.8611111111111,84.45833333333333,81.54166666666667,81.875,81.875,72.64583333333333,75.45833333333333,83.10416666666667,71.95833333333333,61.125,73.58333333333333,74.16666666666667,74.20833333333333,52.958333333333336,57.0
20170118,58.38194444444445,60.90277777777778,62.201388888888886,70.625,67.625,72.16666666666667,70.70833333333333,62.27777777777778,62.083333333333336,35.625,32.3125,69.16666666666667,55.041666666666664,31.166666666666668,18.479166666666668,54.208333333333336
20170119,46.05902777777778,44.541666666666664,42.861111111111114,47.875,45.541666666666664,41.979166666666664,41.75,40.6875,43.041666666666664,32.9375,27.4375,35.541666666666664,27.583333333333332,21.895833333333332,19.125,33.5
20170120,45.59375,43.416666666666664,36.416666666666664,31.152777777777775,42.51388888888889,32.5,35.791666666666664,33.93055555555556,42.0,22.520833333333332,18.333333333333332,26.166666666666668,18.5,15.583333333333334,12.229166666666666,27.833333333333332
20170121,36.166666666666664,32.81944444444444,34.97222222222222,27.5625,32.56944444444444,27.291666666666668,30.125,33.86111111111111,41.479166666666664,26.270833333333332,20.145833333333332,12.166666666666666,21.166666666666668,17.229166666666668,16.3125,28.791666666666668
20170122,54.02777777777778,46.43055555555555,51.40277777777778,43.09722222222222,36.63888888888889,49.75,49.395833333333336,51.40972222222222,47.770833333333336,15.895833333333334,20.104166666666668,51.458333333333336,15.3125,10.416666666666666,11.25,31.708333333333332
20170123,59.9927536231884,52.28985507246377,50.42028985507247,51.02173913043478,53.18115942028986,54.56521739130435,61.54347826086956,66.82608695652173,69.6304347826087,36.58695652173913,36.17391304347826,51.17391304347826,39.608695652173914,22.869565217391305,17.08695652173913,54.82608695652174
