date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20220202,0,SO2,1,3,3,4,1,2,3,2,3,1,1,1,3,1,3,1,3,1,3,2,4,1,3,3,1,1,2,1,3,3,2,2,2,2,3
20220202,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,0,NO2,26,20,38,40,50,36,26,20,30,13,27,29,2,2,2,2,1,20,8,4,1,8,9,12,8,19,19,18,14,27,22,9,14,15,12
20220202,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,0,O3,35,37,24,33,25,32,39,35,27,51,29,31,64,67,77,74,76,44,50,49,57,48,36,55,56,45,46,44,40,42,49,54,41,40,41
20220202,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,0,CO,0.5,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0.4,0.2,0.3,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.6,0.8,0.3,0.3,0.4,0.3,0.5,0.3,0.5,0.4,0.5,1.1,0.5,0.6
20220202,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,1,SO2,1,3,3,3,1,2,2,2,3,1,3,1,1,2,2,1,3,1,3,3,4,1,3,3,1,1,2,3,3,,2,2,2,2,3
20220202,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,1,NO2,15,28,42,48,29,24,22,23,50,11,30,22,5,2,2,5,2,13,4,6,2,9,7,10,6,33,21,22,20,32,25,8,13,21,9
20220202,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,1,O3,50,27,22,20,42,44,45,31,5,53,23,38,59,73,75,62,68,50,49,49,59,43,35,56,59,28,42,34,33,,45,56,42,32,44
20220202,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,1,CO,0.3,0.4,0.5,0.5,0.3,0.3,0.3,0.4,0.6,0.3,0.5,0.4,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.8,0.3,0.3,0.4,0.3,0.5,0.2,0.5,0.4,0.5,1.3,0.5,0.5
20220202,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,2,SO2,3,3,3,3,1,3,1,2,3,1,1,1,2,1,3,1,1,1,1,2,1,3,3,1,1,3,2,1,3,1,1,2,3,2,2
20220202,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,2,NO2,15,25,34,40,24,15,25,19,55,20,22,21,4,20,2,7,5,9,3,6,2,6,10,11,5,31,30,22,23,39,22,9,13,20,6
20220202,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,2,O3,45,32,29,27,46,50,38,37,2,41,28,36,59,37,73,51,50,49,50,47,60,39,26,53,62,27,30,32,30,27,44,52,37,31,42
20220202,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,2,CO,0.3,0.4,0.5,0.5,0.3,0.2,0.3,0.4,0.7,0.4,0.5,0.5,0.3,0.6,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.3,0.2,0.4,0.3,0.5,0.2,,0.4,0.7,1.5,0.5,0.5
20220202,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,3,SO2,3,3,3,3,1,3,1,1,3,3,1,1,2,1,4,1,3,3,1,2,1,3,3,1,1,3,1,3,3,1,3,3,4,2,2
20220202,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220202,3,NO2,15,22,34,27,11,17,37,22,36,15,21,24,3,23,3,8,5,7,2,4,2,7,9,12,5,23,22,32,26,36,36,7,12,19,6
20220202,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
