date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20221022,0,SO2,1,3,1,3,4,3,3,2,2,2,1,3,3,3,2,1,3,1,3,1,3,2,3,1,3,3,3,3,3,3,3,1,1,3,1
20221022,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,0,NO2,83,44,42,53,78,70,59,27,46,31,71,55,32,25,16,22,21,20,19,46,25,26,20,40,44,103,104,45,66,61,83,23,24,52,5
20221022,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,0,O3,39,30,63,61,34,34,57,80,80,84,30,56,70,42,94,74,80,79,99,40,75,65,45,47,31,2,1,60,23,41,2,93,86,60,85
20221022,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,0,CO,1.1,0.9,0.8,1,1,1.1,0.8,0.8,0.8,0.7,1.1,0.6,1,0.8,0.6,0.8,0.7,0.8,0.6,0.8,0.7,0.7,0.8,0.8,0.9,1,1.1,0.9,0.9,0.9,0.8,0.6,0.7,0.8,0.2
20221022,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,1,SO2,1,1,2,3,5,2,3,1,2,2,1,1,3,3,2,1,3,3,3,1,1,2,3,1,4,1,3,3,3,3,3,3,1,3,3
20221022,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,1,NO2,73,54,41,59,44,81,66,25,30,35,58,31,27,35,8,22,24,26,19,42,20,27,17,64,46,101,101,62,62,63,80,9,12,66,5
20221022,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,1,O3,42,52,64,47,70,17,43,75,100,76,46,93,76,31,85,66,59,65,91,35,88,47,49,26,39,2,2,44,26,47,1,77,69,50,79
20221022,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,1,CO,1,0.9,0.8,1,0.8,1.1,0.8,0.8,0.6,0.7,1,0.5,0.9,0.8,0.3,0.7,0.7,0.8,0.6,0.8,0.7,0.7,0.7,0.9,0.9,1,1,1,0.9,1,0.8,0.2,0.3,0.8,0.2
20221022,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,2,SO2,1,3,2,3,5,3,2,2,1,1,3,2,1,3,1,1,3,3,3,1,1,2,1,1,5,2,1,3,3,3,3,3,3,1,1
20221022,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,2,NO2,77,31,26,47,37,52,60,15,12,5,3,24,20,33,3,18,21,19,17,37,19,21,17,44,41,97,87,51,56,93,78,7,7,22,5
20221022,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,2,O3,36,77,80,61,72,43,36,67,75,73,64,73,55,30,72,53,51,64,84,36,85,51,83,55,52,3,17,42,19,7,1,73,64,52,78
20221022,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,2,CO,0.9,0.7,0.7,1,0.7,0.9,0.8,0.5,0.2,0.1,0.2,0.4,0.6,0.8,0.1,0.7,0.6,0.8,0.6,0.8,0.7,0.6,0.6,0.8,0.7,1,0.9,0.9,0.9,1,0.7,0.1,0.1,0.3,0.2
20221022,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,3,SO2,2,1,1,3,4,3,1,1,3,1,3,1,3,3,1,1,3,3,3,1,3,2,3,3,4,1,1,3,3,3,3,3,3,1,1
20221022,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,3,NO2,37,27,20,30,30,55,36,6,8,6,2,6,12,27,3,11,19,17,15,44,19,20,15,36,36,55,59,35,43,81,96,8,7,7,4
20221022,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,3,O3,61,68,64,62,64,30,41,62,72,73,66,72,54,30,67,48,39,65,74,31,82,36,63,58,54,38,45,46,30,22,1,73,65,57,77
20221022,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,3,CO,0.5,0.4,0.5,0.7,0.6,0.8,0.5,0.2,0.1,0.1,0.2,0.2,0.3,0.7,0.2,0.3,0.4,0.7,0.5,0.7,0.6,0.7,0.5,0.7,0.7,0.8,0.8,0.6,0.8,0.9,0.8,0.1,0.1,0.1,0.1
20221022,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,4,SO2,3,1,1,3,3,3,1,1,3,3,3,1,3,3,3,1,3,3,3,1,3,2,3,3,3,2,2,3,3,3,3,3,3,1,1
20221022,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,4,NO2,20,18,6,23,18,22,7,7,10,7,1,7,8,24,2,5,10,15,12,37,16,17,14,32,37,38,31,6,40,54,84,7,7,7,4
20221022,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,4,O3,58,59,58,50,58,49,62,55,68,72,61,67,49,30,65,51,47,52,64,23,58,35,29,37,41,56,66,57,30,39,1,72,62,,65
20221022,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,4,CO,0.2,0.3,0.2,0.5,0.3,0.3,0.2,0.1,0.3,0.1,0.2,0.2,0.2,0.5,0.1,0.2,0.2,0.5,0.2,0.7,0.6,0.7,0.5,0.7,0.7,0.7,0.6,0.2,0.7,0.6,0.8,0.1,0.1,0.1,0.3
20221022,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,5,SO2,3,1,3,3,3,3,1,1,3,3,3,1,3,3,1,1,3,3,3,1,3,1,3,3,3,11,7,3,3,3,3,3,3,1,1
20221022,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,5,NO2,13,8,2,16,7,12,8,3,10,5,2,4,5,8,2,4,7,3,2,47,21,21,13,22,29,31,22,4,23,14,88,7,7,8,2
20221022,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,5,O3,57,63,58,44,58,51,61,63,67,73,61,67,52,47,65,51,45,59,69,9,37,39,32,46,36,44,55,61,42,52,1,69,61,56,71
20221022,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,5,CO,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.7,0.6,0.6,0.5,0.3,0.4,0.4,0.4,0.2,0.3,0.2,0.8,0.1,0.1,0.3,0.3
20221022,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,6,SO2,3,1,3,3,3,3,1,1,3,3,3,1,3,3,1,1,1,3,3,1,3,2,3,3,3,10,3,3,3,3,3,3,3,3,1
20221022,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,6,NO2,10,8,2,7,8,11,12,3,9,5,3,5,5,6,3,3,6,4,3,59,12,18,17,16,13,24,17,7,16,11,31,7,7,6,4
20221022,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,6,O3,58,61,56,49,55,51,54,61,65,70,61,63,50,51,61,51,52,57,67,2,41,42,19,49,51,43,49,60,47,52,37,65,59,56,69
20221022,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,6,CO,0.3,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.7,0.5,0.6,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.3
20221022,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,7,SO2,3,1,3,3,3,3,2,1,3,3,3,1,3,3,1,1,3,3,3,1,3,2,3,3,3,5,3,3,3,3,3,3,3,3,1
20221022,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,7,NO2,11,9,4,5,9,11,14,4,13,5,4,16,8,8,3,10,11,5,3,50,9,36,18,7,6,20,14,8,11,9,15,7,7,23,3
20221022,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20221022,7,O3,55,58,50,53,52,49,50,55,54,67,58,46,43,50,60,39,39,55,64,2,42,18,15,58,56,45,51,56,51,51,47,63,57,40,70
20221022,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
