date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
20220101,27.791666666666668,28.25,29.5625,23.458333333333332,24.541666666666668,22.0,23.416666666666668,24.270833333333332,18.9375,21.854166666666668,26.645833333333332,23.791666666666668,31.416666666666668,32.520833333333336,20.25,23.604166666666668
20220102,10.354166666666666,11.1875,11.270833333333334,11.770833333333334,13.291666666666666,12.541666666666666,13.104166666666666,15.916666666666666,13.145833333333334,11.895833333333334,12.1875,10.770833333333334,11.333333333333334,10.916666666666666,13.541666666666666,11.854166666666666
20220103,24.25,26.416666666666668,23.1875,23.875,29.5625,24.770833333333332,19.09722222222222,22.916666666666668,17.9375,16.041666666666668,20.8125,21.479166666666668,30.375,30.854166666666668,25.604166666666668,26.666666666666668
20220104,37.854166666666664,37.895833333333336,34.875,30.375,36.416666666666664,31.083333333333332,25.993055555555557,22.770833333333332,21.854166666666668,21.416666666666668,30.8125,28.5,41.333333333333336,45.8125,32.208333333333336,38.375
20220105,61.604166666666664,62.0,63.729166666666664,64.39583333333333,64.54166666666667,62.604166666666664,64.45833333333333,63.8125,61.729166666666664,57.0,49.666666666666664,60.4375,56.229166666666664,50.59375,64.20833333333333,64.66666666666667
20220106,62.458333333333336,60.395833333333336,62.4375,55.458333333333336,56.854166666666664,52.104166666666664,46.833333333333336,64.0625,49.125,48.1875,70.25,58.479166666666664,68.58333333333333,66.46875,44.208333333333336,57.625
20220107,98.8125,99.02083333333333,94.85416666666667,86.5,85.1875,80.1875,68.75694444444444,57.520833333333336,71.83333333333333,78.64583333333333,93.70833333333333,82.91666666666667,98.20833333333333,116.88541666666667,63.541666666666664,75.47916666666667
20220108,58.25,57.604166666666664,56.8125,53.666666666666664,59.166666666666664,55.0625,47.708333333333336,46.6875,47.9375,44.125,59.1875,52.770833333333336,67.5,89.70833333333333,49.583333333333336,69.72916666666667
20220109,42.6875,45.729166666666664,42.1875,50.625,53.979166666666664,53.083333333333336,43.72222222222222,57.8125,39.458333333333336,41.25,36.895833333333336,37.4375,35.729166666666664,39.145833333333336,62.416666666666664,58.6875
20220110,17.916666666666668,18.4375,18.229166666666668,19.6875,21.1875,20.416666666666668,12.166666666666666,24.020833333333332,22.125,19.520833333333332,21.75,23.291666666666668,25.770833333333332,23.04513888888889,19.791666666666668,22.854166666666668
20220111,11.4375,11.395833333333334,10.5,10.770833333333334,12.125,10.25,10.569444444444445,9.5,8.104166666666666,8.083333333333334,10.708333333333334,10.541666666666666,10.375,12.895833333333334,11.291666666666666,12.666666666666666
20220112,17.375,18.041666666666668,17.041666666666668,18.041666666666668,15.770833333333334,16.4375,13.958333333333334,17.75,11.604166666666666,10.708333333333334,13.854166666666666,15.083333333333334,19.208333333333332,19.177083333333332,15.604166666666666,17.520833333333332
20220113,10.291666666666666,10.208333333333334,8.041666666666666,9.625,9.541666666666666,8.729166666666666,9.597222222222223,12.270833333333334,8.041666666666666,11.333333333333334,10.166666666666666,9.604166666666666,8.6875,8.947916666666666,8.479166666666666,10.0625
20220114,76.91666666666667,74.95833333333333,71.95833333333333,59.4375,69.22916666666667,57.604166666666664,48.708333333333336,36.5,57.3125,59.6875,67.39583333333333,69.70833333333333,83.0,89.5625,55.541666666666664,63.6875
20220115,45.354166666666664,44.5625,48.270833333333336,44.166666666666664,42.625,37.59375,35.11111111111111,35.833333333333336,55.104166666666664,56.375,55.9375,64.3125,63.791666666666664,56.25,27.291666666666668,39.083333333333336
20220116,8.4375,8.1875,7.6875,9.354166666666666,10.916666666666666,9.5625,9.041666666666666,16.020833333333332,7.5625,7.020833333333333,9.4375,9.770833333333334,7.0625,8.166666666666666,11.583333333333334,10.208333333333334
20220117,16.645833333333332,17.0,18.395833333333332,18.833333333333332,21.145833333333332,18.333333333333332,12.861111111111112,19.708333333333332,12.541666666666666,13.333333333333334,15.895833333333334,14.979166666666666,15.270833333333334,19.375,14.270833333333334,23.229166666666668
20220120,39.916666666666664,34.0,39.604166666666664,33.979166666666664,32.729166666666664,31.604166666666668,41.97222222222222,37.979166666666664,41.291666666666664,38.5,37.583333333333336,42.333333333333336,41.6875,37.645833333333336,33.75,33.125
20220121,58.020833333333336,54.395833333333336,57.958333333333336,52.270833333333336,53.375,52.270833333333336,64.24305555555556,58.145833333333336,63.354166666666664,58.291666666666664,60.0625,66.72916666666667,61.354166666666664,56.22569444444445,56.854166666666664,54.458333333333336
20220122,107.41666666666667,108.5,110.85416666666667,107.70833333333333,108.45833333333333,100.47916666666667,98.16666666666667,73.8125,90.97916666666667,82.0625,94.72916666666667,96.6875,106.77083333333333,108.45833333333333,101.04166666666667,105.10416666666667
20220128,16.895833333333332,17.145833333333332,14.666666666666666,16.770833333333332,19.9375,18.0625,9.75,14.0625,8.395833333333334,8.020833333333334,7.75,7.604166666666667,13.208333333333334,18.364583333333332,15.729166666666666,24.8125
20220129,19.166666666666668,19.583333333333332,19.270833333333332,20.4375,25.125,22.583333333333332,14.097222222222221,18.791666666666668,10.25,8.333333333333334,14.0625,12.5,15.708333333333334,31.708333333333332,21.583333333333332,29.708333333333332
20220201,6.104166666666667,6.3125,6.020833333333333,6.645833333333333,7.0625,6.958333333333333,5.736111111111111,6.791666666666667,6.395833333333333,5.6875,7.729166666666667,6.166666666666667,5.5,7.416666666666667,7.479166666666667,10.1875
