year,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
2014,1.2500297103899358,1.1397450248450003,1.3256246046554332,1.2201713943698196,1.37854723467533,1.2854894735808466,1.264578388927132,1.0044845666801963,0.9368634494840519,1.0200966974111916,1.1733349042404815,0.991985339543274,0.9163590184445503,0.9480834849767478
2015,1.4356053431881035,1.305288641555301,1.4672889477207691,1.3172376377658044,1.574814688871015,1.549829994662501,1.4181599386537007,1.0871466722876646,1.0623166274762237,1.0867777704572241,1.3251365144079648,1.0285127955663034,0.945018326801403,0.9223819268595274
2016,1.227326696118583,1.1806081387467244,1.3211606291252658,1.1635027327642387,1.472273966725093,1.4529926790967707,1.4411457762763902,0.9930740657057223,1.0011705685423011,1.106365081806197,1.078101888719415,0.9458904417740625,0.8141887114213135,0.9442341518634622
2017,1.0284396359399846,0.9698758027644923,1.0491457633557906,0.9673860964176777,1.1154504599149733,1.0265596371375734,1.1247912287282011,0.9327899984121256,0.8168887242592516,0.7770049629178984,1.1317246861655057,0.8307557103230288,0.7732951294080532,0.7713132919669174
2018,0.8663014885673932,0.8111878497429945,0.8299465693656646,0.7938734143324299,0.9404073298090112,0.8882592702117398,0.9292073418421114,0.7813959546758006,0.6884045577208681,0.7021802331987979,0.8206330417747786,0.7080943789054975,0.6750936778397821,0.6880211054255149
2019,0.7550210058459427,0.7179043566028008,0.7344756923961598,0.6513154062766636,0.7610474521064304,0.7571204228758287,0.7589476943432331,0.67079688492107,0.5928461131812127,0.6063778126685208,0.7179918132058676,0.5706988389705763,0.559998896331913,0.6352606584056216
2020,0.6609419012979713,0.6692433643380645,0.6685968287926508,0.6195804123532476,0.6942311637253479,0.7118374244939781,0.7137854520230773,0.6377238139400608,0.5493543959108946,0.5813750983297412,0.6390204625721908,0.5291913302511351,0.5101315410560389,0.6153801292503295
2021,0.608915331267632,0.5989148558755137,0.5832160004846466,0.5763838768843133,0.5922503276252091,0.6428695881381107,0.6024401595719712,0.5825299752639735,0.5036714716391723,0.5655320021352127,0.5823414844937412,0.5222470192260679,0.5166651928289364,0.5330503445033915
2022,0.5187956659435465,0.514872239102402,0.47150168157234834,0.49318835096758296,0.4738982102671823,0.5590874044451886,0.5276412439088828,0.46935106040994073,0.4431445048277292,0.4481717130453163,0.4757774900132999,0.44398170807304044,0.43489931540943444,0.43796133462004083
2023,0.5229999003997136,0.5362242713753591,0.4951015761553148,0.5167616227818786,0.46964462290479353,0.559032359350066,0.5613285126269715,0.47396073700628844,0.4390252012108958,0.4353345617140653,0.4807561633461412,0.4309970727544477,0.41183831010539684,0.4153588671766953
