date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
20230101,29.916666666666668,31.25,34.3125,40.645833333333336,36.0625,39.375,21.777777777777775,29.541666666666668,12.479166666666666,9.979166666666666,18.979166666666668,14.375,41.958333333333336,51.979166666666664,33.229166666666664,32.1875
20230102,16.67391304347826,21.869565217391305,17.652173913043477,31.67391304347826,29.782608695652176,31.804347826086957,8.927536231884059,13.043478260869565,9.021739130434783,4.336956521739131,7.021739130434782,4.804347826086956,16.130434782608695,32.15217391304348,31.47826086956522,32.69565217391305
20230103,29.0,37.0625,38.3125,51.75,44.395833333333336,46.875,31.027777777777775,32.145833333333336,13.145833333333334,16.229166666666668,22.395833333333332,20.8125,44.375,49.59027777777778,35.895833333333336,37.729166666666664
20230104,47.104166666666664,58.270833333333336,58.645833333333336,59.895833333333336,61.791666666666664,58.708333333333336,38.986111111111114,29.3125,24.5625,31.083333333333332,28.9375,40.666666666666664,58.625,62.0,46.4375,46.5625
20230105,64.85416666666667,76.97916666666667,74.02083333333333,69.14583333333333,74.5,70.91666666666667,41.833333333333336,42.020833333333336,40.34375,47.541666666666664,50.958333333333336,57.958333333333336,84.45833333333333,86.13541666666667,49.458333333333336,59.791666666666664
20230106,47.270833333333336,54.208333333333336,57.854166666666664,45.5,51.4375,46.083333333333336,32.041666666666664,20.729166666666668,33.854166666666664,42.583333333333336,40.979166666666664,42.1875,63.541666666666664,64.125,38.604166666666664,50.125
20230107,46.854166666666664,59.208333333333336,39.8125,53.375,55.729166666666664,56.354166666666664,28.458333333333332,17.3125,17.270833333333332,29.041666666666668,28.666666666666668,31.375,66.1875,61.708333333333336,40.104166666666664,42.708333333333336
20230108,37.333333333333336,41.229166666666664,40.625,40.333333333333336,38.770833333333336,38.1875,25.402777777777775,23.875,17.916666666666668,20.395833333333332,23.875,25.5,41.958333333333336,48.4375,31.666666666666668,45.041666666666664
20230109,23.479166666666668,27.583333333333332,31.354166666666668,37.520833333333336,30.145833333333332,28.875,27.777777777777775,12.75,14.666666666666666,14.833333333333334,19.770833333333332,22.645833333333332,37.104166666666664,39.958333333333336,30.208333333333332,24.229166666666668
20230110,46.645833333333336,54.708333333333336,62.75,59.666666666666664,55.166666666666664,57.166666666666664,39.416666666666664,32.270833333333336,37.9375,43.895833333333336,33.229166666666664,57.458333333333336,56.520833333333336,47.166666666666664,41.270833333333336,39.229166666666664
20230111,66.16666666666667,79.22916666666667,75.375,67.125,68.29166666666667,66.60416666666667,45.80555555555555,39.354166666666664,40.375,48.3125,47.479166666666664,57.666666666666664,78.04166666666667,78.57638888888889,49.270833333333336,56.666666666666664
20230112,67.10416666666667,73.64583333333333,70.6875,61.8125,66.54166666666667,67.64583333333333,49.875,33.479166666666664,45.020833333333336,44.583333333333336,52.854166666666664,51.229166666666664,68.91666666666667,71.57291666666667,56.583333333333336,61.708333333333336
20230113,35.270833333333336,36.0625,34.8125,31.208333333333332,30.916666666666668,28.4375,24.0625,33.3125,16.854166666666668,13.75,21.979166666666668,13.364583333333334,24.395833333333332,32.760416666666664,24.479166666666668,25.583333333333332
20230114,5.4375,10.708333333333334,6.958333333333333,6.354166666666667,4.3125,2.1666666666666665,2.847222222222222,4.5,5.125,2.125,2.5416666666666665,2.2708333333333335,8.4375,6.604166666666667,4.458333333333333,2.6458333333333335
20230115,10.458333333333334,17.770833333333332,12.916666666666666,12.104166666666666,7.604166666666667,5.270833333333333,4.902777777777778,5.541666666666667,9.375,5.125,4.3125,3.8958333333333335,11.479166666666666,13.958333333333334,6.375,14.354166666666666
20230116,21.854166666666668,30.666666666666668,31.333333333333332,27.833333333333332,26.708333333333332,22.479166666666668,17.75,13.3125,22.083333333333332,16.375,17.791666666666668,19.958333333333332,31.6875,29.34375,19.541666666666668,24.1875
20230117,12.3125,18.0,12.791666666666666,12.708333333333334,12.6875,11.145833333333334,10.930555555555555,3.9791666666666665,10.520833333333334,18.770833333333332,18.666666666666668,23.375,15.0625,16.70486111111111,10.791666666666666,14.625
20230118,24.270833333333332,30.083333333333332,35.125,32.0625,23.958333333333332,21.666666666666668,20.26388888888889,14.708333333333334,24.0,21.479166666666668,18.979166666666668,24.625,33.6875,29.034722222222225,16.020833333333332,21.791666666666668
20230119,26.645833333333332,31.354166666666668,31.5,23.729166666666668,18.666666666666668,17.458333333333332,11.5625,9.145833333333334,14.8125,14.520833333333334,12.958333333333334,18.8125,30.791666666666668,29.072916666666668,8.25,13.3125
20230120,6.479166666666667,9.895833333333334,7.5625,10.375,5.125,6.25,6.486111111111111,4.166666666666667,7.645833333333333,6.354166666666667,6.208333333333333,5.604166666666667,7.1875,8.96875,6.770833333333333,6.5
20230121,28.083333333333332,31.666666666666668,30.6875,29.354166666666668,28.833333333333332,25.770833333333332,14.611111111111112,15.020833333333334,12.833333333333334,19.020833333333332,14.479166666666666,15.270833333333334,26.666666666666668,28.8125,15.645833333333334,24.541666666666668
20230122,26.145833333333332,33.5,30.541666666666668,34.166666666666664,27.145833333333332,26.0625,14.833333333333334,15.479166666666666,15.625,16.395833333333332,15.75,15.1875,26.458333333333332,32.666666666666664,18.1875,25.4375
20230123,6.166666666666667,7.0,6.520833333333333,8.75,7.875,8.583333333333334,5.916666666666667,3.1666666666666665,7.520833333333333,4.958333333333333,5.895833333333333,4.5,7.104166666666667,6.8125,8.333333333333334,8.229166666666666
