month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
202001,47.237119175627235,50.407706093189965,50.331093189964164,41.26747311827957,52.70340501792115,38.28293010752688,42.563844086021504,48.37992831541219,47.84274193548387,33.98118279569893,31.122311827956988,32.27217741935484,30.931451612903224,22.146505376344088,19.371639784946236,39.484879032258064
202002,31.11043165467626,33.99808153477218,35.62829736211032,27.502158273381294,32.53453237410072,21.650359712230216,21.41798561151079,28.154916067146285,30.176978417266188,26.084172661870504,19.376978417266187,23.09064748201439,19.476258992805754,17.601438848920864,14.388489208633093,26.057553956834532
202003,28.772289426523297,31.49977598566308,33.16129032258065,26.032594086021504,32.74731182795699,24.352150537634408,24.491599462365592,29.701388888888886,32.23353494623656,28.631048387096776,14.892137096774194,23.33266129032258,18.563172043010752,16.959005376344088,14.428763440860216,25.058131720430108
202004,27.94926433282598,29.491882293252157,33.01141552511415,27.464231354642312,32.59132420091324,23.73820395738204,23.28614916286149,28.17224759005581,32.88812785388128,28.634703196347033,12.801369863013699,25.82191780821918,16.38660578386606,14.356925418569254,14.138508371385084,28.796042617960428
202005,25.613201094391243,28.417920656634745,32.38554491564067,25.855677154582764,29.99658002735978,23.654582763337892,21.978796169630645,23.825809393524853,27.841997264021888,26.194254445964432,14.739398084815322,25.336525307797537,19.41655266757866,16.551299589603282,15.018467852257182,24.031463748290015
202006,25.653290719696972,30.192945075757574,35.18868371212121,25.591619318181817,32.247395833333336,24.90625,20.09375,22.5078125,28.509943181818183,26.453125,14.571377840909092,23.899147727272727,17.458806818181817,15.816761363636363,13.801136363636363,25.943181818181817
202007,23.596562641338764,27.48665762098598,33.606739032112166,21.350067842605156,28.743102668475803,21.290366350067842,17.367028493894164,18.5719131614654,24.185888738127545,21.89348710990502,10.186567164179104,14.830393487109905,13.58819538670285,12.564450474898235,10.64246947082768,21.24966078697422
202008,24.17349910394265,27.541890681003586,33.23118279569893,22.47043010752688,30.961693548387096,24.64516129032258,18.094086021505376,18.303763440860216,23.010752688172044,22.443548387096776,10.433467741935484,15.459677419354838,11.084677419354838,13.468413978494624,9.547043010752688,21.009408602150536
202009,29.20920745920746,32.03193473193473,35.74289044289044,28.315384615384616,32.61235431235431,26.123076923076923,23.96993006993007,24.564102564102562,26.97062937062937,26.452447552447552,13.13006993006993,15.385314685314686,14.175524475524476,12.816783216783216,12.78111888111888,24.004195804195803
202010,43.76639529624604,47.6352329262777,47.6386250565355,40.84464043419268,47.591813658977834,39.37720488466757,40.919267299864316,40.0857078245138,38.012890094979646,41.084124830393485,24.741519674355494,32.919267299864316,26.53459972862958,23.10651289009498,24.559362279511532,32.976933514246944
202011,44.06168122270742,48.361717612809315,48.53105288694809,44.65029112081514,50.28481319747695,40.004366812227076,46.05822416302766,50.666424065987385,48.29002911208151,39.374818049490536,28.62663755458515,37.548762736535664,30.32751091703057,28.150655021834062,25.162663755458514,34.47816593886463
202012,39.60009119927041,47.98404012767898,43.77017783857729,40.58891928864569,47.18559051527588,37.095075239398085,44.06019151846785,49.41290469676243,49.508207934336525,35.001367989056085,24.167578659370726,31.12517099863201,25.051983584131328,25.613543091655266,22.14500683994528,29.08139534883721
