date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
20220101,3.2291666666666665,6.520833333333333,4.8125,2.875,4.208333333333333,3.375,2.4166666666666665,3.2708333333333335,2.5208333333333335,3.4375,3.375,2.4166666666666665,3.7708333333333335,3.21875,2.4583333333333335,7.166666666666667
20220102,2.125,3.5833333333333335,2.0208333333333335,2.1666666666666665,2.25,2.1875,2.125,2.6041666666666665,2.0833333333333335,2.625,1.4791666666666667,1.9375,1.9791666666666667,2.5416666666666665,1.7083333333333333,2.6666666666666665
20220103,2.2083333333333335,4.895833333333333,1.875,2.5833333333333335,2.3958333333333335,2.3125,2.444444444444444,2.5,1.75,2.5,1.9375,1.7708333333333333,2.2291666666666665,2.600694444444444,2.9791666666666665,2.0625
20220104,4.791666666666667,7.5,5.041666666666667,4.041666666666667,4.854166666666667,4.3125,3.2083333333333335,2.9375,3.3958333333333335,3.625,4.333333333333333,3.1666666666666665,5.083333333333333,4.395833333333333,4.395833333333333,3.9166666666666665
20220105,1.9166666666666667,4.25,2.9791666666666665,2.7083333333333335,3.2083333333333335,2.9583333333333335,2.0277777777777777,2.875,2.1458333333333335,3.5208333333333335,5.416666666666667,1.8958333333333333,2.7916666666666665,2.513888888888889,2.375,2.1041666666666665
20220106,2.2916666666666665,3.7708333333333335,3.5625,2.1875,2.7708333333333335,2.6666666666666665,2.9305555555555554,3.1875,2.75,4.541666666666667,4.75,3.3333333333333335,3.3958333333333335,3.3541666666666665,2.375,1.7708333333333333
20220107,2.1458333333333335,5.0,3.7291666666666665,2.4166666666666665,2.6875,3.3125,3.1875,3.4375,2.6458333333333335,4.1875,2.5416666666666665,2.9583333333333335,3.2083333333333335,2.7916666666666665,2.9166666666666665,1.9166666666666667
20220110,1.1666666666666667,3.2291666666666665,1.7916666666666667,2.2291666666666665,1.6666666666666667,2.7083333333333335,2.5833333333333335,1.9166666666666667,1.7083333333333333,3.3333333333333335,2.7083333333333335,2.2083333333333335,2.5416666666666665,2.3020833333333335,2.4583333333333335,2.8333333333333335
20220111,1.9791666666666667,3.0625,1.8541666666666667,2.0208333333333335,2.3333333333333335,2.3125,1.861111111111111,2.0208333333333335,1.4791666666666667,2.5833333333333335,2.1875,2.75,2.375,2.420138888888889,1.8125,2.25
20220112,2.0416666666666665,3.3125,2.625,2.7083333333333335,2.8333333333333335,2.75,1.7083333333333333,2.125,1.5416666666666667,2.3958333333333335,2.0208333333333335,2.8125,2.8333333333333335,2.5833333333333335,2.0833333333333335,1.7708333333333333
20220113,1.4791666666666667,2.7916666666666665,1.6666666666666667,2.125,2.6666666666666665,1.375,1.6597222222222223,3.2291666666666665,2.0208333333333335,2.9166666666666665,1.8125,1.4583333333333333,1.9375,1.8055555555555556,2.5625,1.9583333333333333
20220114,2.9166666666666665,5.125,3.9791666666666665,2.6041666666666665,3.7916666666666665,2.5,2.3472222222222223,3.7083333333333335,3.0,3.7708333333333335,2.7916666666666665,2.875,3.4166666666666665,2.375,2.8125,1.9375
20220115,2.6458333333333335,3.4375,2.1458333333333335,2.5,1.8958333333333333,1.9895833333333333,2.2222222222222223,2.6458333333333335,2.4375,3.125,2.4583333333333335,2.4375,2.875,2.600694444444444,2.1875,2.5208333333333335
20220116,3.0,2.625,1.6041666666666667,2.7916666666666665,1.4583333333333333,1.6458333333333333,2.4027777777777777,2.4166666666666665,2.7916666666666665,2.9583333333333335,2.3333333333333335,1.9583333333333333,2.4166666666666665,2.8125,2.0208333333333335,2.5833333333333335
20220117,2.2083333333333335,3.5833333333333335,2.75,2.25,2.1458333333333335,1.4583333333333333,2.013888888888889,1.8333333333333333,2.3333333333333335,2.5416666666666665,2.3333333333333335,1.3958333333333333,2.5625,2.5104166666666665,1.7708333333333333,2.4583333333333335
20220128,1.9583333333333333,3.5416666666666665,3.8541666666666665,1.7083333333333333,2.8958333333333335,1.7291666666666667,1.8402777777777777,3.3125,2.1458333333333335,3.0833333333333335,1.7083333333333333,1.8125,2.1666666666666665,1.90625,1.5416666666666667,1.7291666666666667
20220129,1.9583333333333333,3.3333333333333335,3.1041666666666665,1.9583333333333333,1.6875,1.9166666666666667,2.236111111111111,3.0416666666666665,2.0,2.9375,1.5833333333333333,1.8958333333333333,2.3125,2.2152777777777777,2.2083333333333335,2.1458333333333335
20220201,1.5416666666666667,3.375,1.9375,2.0208333333333335,1.9166666666666667,1.25,1.875,1.8958333333333333,2.1041666666666665,2.3958333333333335,2.5,2.0,2.1875,2.444444444444444,1.6666666666666667,2.3958333333333335
20220202,2.3958333333333335,3.25,1.8541666666666667,2.1458333333333335,1.9166666666666667,1.6666666666666667,2.125,1.875,2.375,1.6458333333333333,2.1666666666666665,1.0833333333333333,1.9375,1.9340277777777777,3.1875,2.9375
20220203,2.5,2.7708333333333335,1.9166666666666667,2.0416666666666665,2.2916666666666665,1.4166666666666667,2.0833333333333335,2.0,3.0625,1.625,2.0,1.9166666666666667,2.7916666666666665,1.6284722222222223,2.5208333333333335,2.7708333333333335
20220204,1.9375,2.7291666666666665,2.125,2.3333333333333335,1.5,1.4791666666666667,2.027777777777778,1.8958333333333333,1.9583333333333333,1.625,1.9791666666666667,2.0416666666666665,2.6666666666666665,1.548611111111111,1.7708333333333333,2.2291666666666665
