date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20170314,9.0,10.222222222222221,11.444444444444445,9.222222222222223,6.888888888888889,7.666666666666667,13.166666666666666,10.333333333333334,16.833333333333332,7.833333333333333,9.5,6.0,13.0,5.0,4.0,18.0
20170315,22.807291666666668,25.666666666666668,24.6875,18.833333333333332,23.458333333333332,22.625,25.875,24.145833333333336,31.21875,24.71875,15.4375,18.9375,22.0625,14.75,15.59375,16.21875
20170316,26.133333333333333,30.477777777777778,28.67777777777778,23.0,29.511111111111113,28.666666666666668,32.333333333333336,27.08888888888889,34.4,29.333333333333332,17.8,23.0,48.0,15.133333333333333,16.1,18.833333333333332
20170317,18.79861111111111,24.3125,21.125,17.243055555555554,25.041666666666668,22.833333333333332,32.145833333333336,19.375,26.104166666666668,20.895833333333332,14.791666666666666,17.208333333333332,20.833333333333332,14.0,13.833333333333334,21.625
20170318,16.479166666666668,19.708333333333332,17.90972222222222,14.638888888888888,20.083333333333332,16.875,21.4375,18.347222222222225,25.3125,17.958333333333332,10.625,12.958333333333334,32.75,7.333333333333333,11.770833333333334,12.5
20170319,35.729166666666664,37.73611111111111,36.291666666666664,26.875,36.333333333333336,32.125,34.291666666666664,34.81944444444444,48.75,39.166666666666664,24.020833333333332,24.208333333333332,32.0,23.520833333333332,21.520833333333332,21.1875
20170320,26.770833333333332,25.5,23.916666666666668,15.875,25.930555555555557,22.791666666666668,28.5,27.375,35.729166666666664,23.625,6.854166666666667,18.375,32.729166666666664,7.375,7.75,10.4375
20170321,9.95486111111111,9.034722222222223,8.840277777777777,5.222222222222222,10.333333333333334,7.416666666666667,15.25,14.0,14.791666666666666,6.916666666666667,3.6041666666666665,5.375,5.25,3.1041666666666665,2.5625,4.354166666666667
20170322,26.475694444444443,21.402777777777775,25.868055555555557,12.833333333333334,22.493055555555557,16.041666666666668,21.6875,30.291666666666668,34.958333333333336,24.541666666666668,9.979166666666666,12.541666666666666,35.8125,12.625,11.583333333333334,8.895833333333334
20170323,9.28125,5.715277777777778,7.180555555555556,5.902777777777778,6.527777777777778,4.625,6.625,7.270833333333333,15.666666666666666,16.458333333333332,4.9375,7.25,24.583333333333332,6.708333333333333,10.458333333333334,7.5
20170324,3.4375,2.9791666666666665,3.013888888888889,2.1666666666666665,4.75,2.125,3.9166666666666665,2.6527777777777777,4.791666666666667,3.6041666666666665,2.3958333333333335,2.3333333333333335,19.375,2.0,2.375,2.8958333333333335
20170325,4.034722222222222,4.111111111111112,4.631944444444445,3.5833333333333335,8.0625,2.375,6.604166666666667,3.298611111111111,7.354166666666667,6.291666666666667,2.9375,3.2916666666666665,5.416666666666667,2.0,2.5625,4.9375
