month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
201401,121.17075492831542,138.3673835125448,138.4339157706093,119.58008512544802,140.73140681003585,129.78158602150538,210.30241935483872,162.89639336917563,164.56149193548387,104.21135752688171,105.83333333333331,221.57056451612905,120.6760752688172,103.4388440860215,88.78864247311827,92.38474462365592
201402,148.77728174603175,163.2313988095238,166.6981646825397,152.12562003968256,169.0376984126984,154.82738095238096,189.1737351190476,163.86793154761904,174.71614583333334,146.52529761904762,147.2983630952381,168.5625,168.16443452380952,149.31919642857142,135.6063988095238,133.74813988095238
201403,128.05298913043478,139.2703804347826,153.22124094202897,134.9141757246377,150.0,154.32472826086956,184.85665760869568,151.19927536231884,151.9164402173913,124.1766304347826,119.25815217391305,149.7038043478261,140.41983695652175,118.6671195652174,102.90217391304348,102.49048913043478
201404,141.73861825980393,145.3174325980392,152.84270833333335,154.8247549019608,169.18786764705882,184.42665441176476,168.9251838235294,137.49874387254903,151.31773897058824,132.86378676470588,132.3578125,171.74797794117646,141.5511948529412,133.68786764705882,116.51801470588236,117.8216911764706
201405,120.1382336469534,115.0994623655914,122.85437948028677,120.79156586021506,129.74515008960572,156.39146505376343,122.79566532258065,124.83786137049614,126.83938172043013,108.68686155913976,85.58195564516129,134.69657258064515,105.74489247311828,87.55141990625862,85.12389112903226,91.43629032258065
201406,92.60399790502792,74.62596601489757,100.34342411545624,102.095135009311,101.43453212290504,104.70055865921788,91.69025837988828,92.42499693717534,107.36476955307263,105.38390363128492,45.40998603351955,76.14078212290504,82.43086592178771,66.02108043260279,79.82709497206703,57.36745810055866
201407,88.80563284682988,89.84681974313023,146.3502314814815,94.1217312266395,144.263693957115,134.38137308715903,130.29678592995168,122.6120447530864,125.3183114711934,74.83944704049844,89.58501838235294,82.9886949375411,52.21743951612903,86.82673485985985,74.8539297385621,73.3144158496732
201408,97.52870618266496,102.17977958438397,111.10530379604673,97.88828539366926,112.68820745850476,122.1380342011395,105.71673063400914,116.38610557474829,108.99558105949616,78.15742360650445,71.51991140795941,85.63626187552167,62.745331826218006,80.63149897892765,63.76831915155999,53.22933920489448
201409,110.64678615196078,121.10155324074074,114.88062210648148,110.37225104821805,112.60381770833334,133.55727777777778,118.36684027777778,94.05306126108502,118.87096471471472,97.89765946502058,91.45119791666669,93.05699074074074,77.8009824074074,81.68635924796747,79.49705246913581,79.24104291417166
201410,166.48935688405797,160.44489356884057,187.75097373188407,171.52760416666666,182.20896739130436,177.578125,225.97313179347827,180.99200472308488,204.9214673913044,135.78389945652174,112.32201086956522,122.78138586956524,151.2030570652174,102.95620471014492,121.93448226544623,76.00130813953488
