date,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
20140701,159.09652777777777,152.59861111111113,167.5876225490196,151.16041666666666,124.97916666666667,180.46666666666667,155.39166666666668,150.4426388888889,154.60778735632184,158.9625,135.18333333333334,138.40833333333333,130.14583333333334,143.20870462046204,111.68923303834809,122.9345695970696
20140702,55.47638888888889,36.55589887640449,173.03970588235293,50.8780035787321,139.525,69.93333333333332,77.71074561403509,155.87666666666667,179.01999999999998,38.11025641025641,40.512499999999996,67.80898876404494,17.669714912280703,99.9430693069307,40.261504424778764,141.4346153846154
20140703,50.20972222222222,42.93342696629213,279.9060049019608,45.44555214723926,261.0288157894737,106.73333333333333,183.9078947368421,150.15916666666666,179.7151724137931,35.05794871794872,122.49166666666667,63.60224719101124,16.928157894736845,95.21435643564355,41.25973451327434,129.96208791208792
20140704,44.94305555555556,49.31095505617978,277.0971153846154,47.61733128834356,254.7563157894737,143.53333333333333,241.9021929824561,148.3125,180.41034482758621,32.005641025641026,129.89166666666668,59.39550561797753,16.460789473684212,90.48564356435644,42.25796460176991,118.48956043956044
20140705,39.67638888888889,55.68848314606742,260.34326923076924,49.78911042944785,253.41736842105263,180.33333333333334,226.08388888888888,69.50416666666666,181.10551724137932,28.953333333333333,116.7625,55.18876404494382,15.99342105263158,85.75693069306931,43.25619469026549,107.01703296703296
20140706,34.40972222222222,62.06601123595505,243.58942307692305,51.96088957055215,252.07842105263157,217.13333333333333,236.67055555555555,163.81666666666666,181.80068965517242,25.90102564102564,171.53125,50.98202247191011,15.526052631578949,81.02821782178218,44.25442477876106,95.54450549450549
20140707,29.14305555555556,68.44353932584269,233.2514423076923,54.13266871165644,266.77532894736845,253.93333333333337,247.25722222222223,160.65291666666667,181.6474329501916,22.848717948717947,148.4375,46.775280898876396,15.058684210526316,76.29950495049505,45.25265486725664,84.07197802197803
20140708,23.876388888888886,74.82106741573034,155.1461666666667,56.30444785276074,205.79895833333333,178.30416666666667,165.81958333333333,149.55125,102.5490451388889,19.796410256410255,61.30833333333333,42.56853932584269,14.591315789473684,71.57079207920792,46.25088495575221,72.59945054945055
20140709,33.855303030303034,68.19476506639427,60.15418181818181,64.34596579289831,71.83068181818182,85.41136363636363,149.24318181818182,74.575,52.63892045454545,16.87128205128205,27.229545454545452,49.73580183861082,14.14342105263158,67.03910891089109,47.2075221238938,50.23221778221778
20140710,78.73958333333333,85.98125,90.29166666666667,87.42152777777778,88.53958333333333,137.74375,129.86458333333334,80.38680555555555,70.75833333333334,48.21965811965811,52.487500000000004,93.68333333333334,46.048728070175436,59.88193069306931,48.1641592920354,49.99166666666667
20140711,69.64166666666667,75.33749999999999,78.30208333333333,76.38368055555556,85.20625,110.38333333333333,115.33958333333334,90.52291666666667,75.8125,52.541666666666664,34.643750000000004,74.43541666666667,43.260416666666664,45.6875,29.279750095156533,28.372916666666665
20140712,36.360416666666666,36.981249999999996,37.0375,39.859722222222224,56.96875,62.1625,60.385416666666664,58.775,61.56666666666667,12.554166666666667,20.195833333333333,41.42916666666667,37.266666666666666,29.2,32.719892473118286,24.160416666666663
20140713,69.12708333333333,60.06388888888889,65.48958333333333,53.69652777777778,80.51979166666666,63.24166666666667,76.96666666666667,69.22847222222222,62.80625,7.6875,29.412499999999998,37.1625,32.65,30.629166666666666,61.02956989247312,29.22083333333333
20140714,72.41666666666667,61.63784722222223,76.71666666666667,64.3013888888889,83.40416666666667,83.15833333333333,117.96666666666665,98.55138888888888,112.93124999999999,62.67916666666667,41.2875,44.94375,60.19166666666667,79.70416666666667,89.33924731182798,44.48333333333333
20140715,117.04583333333333,124.48055555555555,132.49166666666667,136.3375,136.83125,160.1,129.125,94.65763888888888,92.99374999999999,98.44375000000001,99.63958333333333,136.73749999999998,91.6186274509804,113.25,96.4820564516129,73.6125
20140716,105.375,81.97770562770563,165.59650537634408,144.02297036082476,189.4020833333333,89.09669540229885,114.88843573446327,155.75007183908045,132.31153846153845,126.99837398373984,84.08333333333333,38.07974137931034,82.85673630563336,74.91588541666665,130.6260606060606,51.83086734693878
20140717,129.55823412698413,98.23181818181818,200.8159946236559,160.84484536082473,208.96562500000002,93.54022988505746,62.49067796610169,160.6094827586207,125.0323076923077,118.07134146341464,109.01666666666667,51.34310344827586,97.40119047619048,70.115625,144.09227272727273,49.39413265306123
20140718,123.80357142857143,119.20844155844156,126.4765,136.5726804123711,213.72812499999998,99.44367816091955,90.02966101694915,139.87844827586207,115.58,105.45670731707317,150.10833333333332,69.63275862068966,112.01071428571429,65.465625,127.57590909090908,46.95739795918367
20140719,92.28819444444446,103.29349296536797,81.474125,112.30051546391752,131.5941287878788,112.14022988505747,90.58185028248589,119.14741379310345,100.59490384615385,98.4444105691057,108.44583333333333,87.92241379310344,126.6202380952381,60.81562499999999,111.05954545454546,44.520663265306126
20140720,78.76770833333333,99.596875,85.20375,98.56419673539519,114.30517676767677,145.65833333333333,85.11041666666667,98.41637931034482,95.94583333333333,108.84166666666665,93.05,106.21206896551725,141.2297619047619,56.165625,94.54318181818182,42.08392857142857
20140721,43.86875,40.505208333333336,71.10020833333333,48.31008333333333,41.197916666666664,116.06111111111112,51.49166666666667,53.87737068965517,56.55625,73.35510752688172,29.56458333333333,77.99824712643678,81.61891427718041,51.515625,48.303327922077926,39.647193877551025
20140722,38.172222222222224,39.15763888888889,35.526666666666664,38.00311111111112,37.94305555555555,57.84097222222223,56.90416666666667,49.314930555555556,50.46145833333333,26.70114247311828,17.930208333333333,27.236666666666668,36.53763440860215,46.48932291666666,36.88928571428571,37.21045918367347
20140723,82.39027777777778,88.46805555555555,76.19583333333334,79.23333333333333,102.40486111111112,132.83333333333334,78.61041666666667,73.39027777777777,94.55416666666667,56.99375,22.587500000000002,92.27083333333333,37.26021505376344,73.20833333333333,38.24166666666667,34.77372448979592
20140724,116.02083333333333,121.76527777777778,145.57291666666666,121.27916666666665,142.509375,144.42083333333332,129.91458333333333,109.41145833333333,109.3875,98.57708333333333,75.9375,110.00208333333335,37.982795698924726,70.77083333333333,56.5375,56.442387157565726
20140725,128.5086124401914,147.86381118881118,105.82840909090909,104.74318181818181,87.91363636363636,120.33764822134388,100.02727272727272,108.0340909090909,149.82386363636363,154.8359375,97.25227272727274,80.67220279720279,38.6752688172043,65.1892857142857,60.265625,73.13648648648649
20140726,133.94002192982455,144.90608974358975,137.0875,126.31527777777778,122.86354166666666,146.4842391304348,129.36458333333334,152.37395833333332,145.78645833333334,158.53997395833332,109.60833333333333,106.8400641025641,39.36774193548387,126.6202380952381,97.19609375,85.36621621621622
20140727,146.86458333333334,148.84305555555554,145.99479166666666,161.15555555555554,149.85,197.25,154.675,153.08854166666666,174.75833333333333,164.82291666666666,147.0875,149.45000000000002,40.09032258064516,163.02083333333334,126.64791666666667,123.325
20140728,172.53282132768365,143.05972222222223,139.23958333333334,180.84305555555557,151.31770833333334,197.42916666666667,153.2875,171.58472222222224,149.6,131.04003115264797,146.38541666666666,155.63333333333333,40.81290322580645,173.96317567567567,122.41041666666666,135.40196078431373
20140729,181.93898305084747,117.33064516129032,129.34,156.78,128.54000000000002,185.84,141.57999999999998,192.98333333333335,200.07999999999998,82.53317757009346,108.82000000000001,169.82,41.2494623655914,173.36081081081082,121.17999999999999,122.03921568627452
20140730,175.7220338983051,126.99193548387096,207.00909090909093,132.41467889908256,128.07368421052632,172.4179640718563,142.43043478260867,197.26111111111112,204.3814814814815,81.8070093457944,88.20434782608696,167.44319526627217,41.670967741935485,165.9509009009009,119.75882352941177,109.13725490196077
20140731,165.2864406779661,135.2927419354839,332.452398989899,136.36009174311928,136.0513157894737,159.52814371257486,152.6733695652174,204.4416666666667,168.11604938271606,80.58808411214953,168.65159313725488,148.5319526627219,42.37849462365591,153.51283783783785,101.46568627450979,87.48039215686275
20140801,154.62881355932205,148.17318548387098,283.65,140.3894495412844,144.19868421052632,146.36407185628744,163.1342391304348,211.775,131.07901234567902,79.34322429906543,142.45441176470587,129.21834319526627,43.101075268817205,140.81013513513514,82.78333333333333,65.36274509803921
20140802,143.97118644067797,148.03333333333333,215.64999999999998,144.41880733944953,136.9451551956815,133.20000000000002,171.3528079710145,219.10833333333335,133.4914351851852,78.0983644859813,98.76029411764705,109.90473372781065,43.82365591397849,128.10743243243243,64.10098039215686,43.24509803921569
20140803,133.3135593220339,142.22083333333333,147.64999999999998,144.03354321735617,134.12384615384616,120.03592814371258,160.14374999999998,211.20770877009087,218.52254901960782,76.8535046728972,55.066176470588225,90.59112426035502,44.54623655913978,115.40472972972974,45.41862745098038,21.127450980392165
20140804,122.65593220338984,54.675000000000004,48.50217717717717,109.13396226415092,131.57615384615386,106.87185628742516,80.2758152173913,147.33490566037736,136.74117647058821,75.60864485981308,23.648774509803918,71.2775147928994,45.26881720430108,102.70202702702703,26.736274509803916,15.213961161387635
20140805,95.5622175141243,59.86666666666667,41.65540540540541,70.8375786163522,104.33423076923077,93.70778443113772,63.407518115942025,85.74882075471697,58.090441176470584,74.36378504672898,51.65416666666667,51.96390532544378,45.991397849462366,89.99932432432433,16.22789215686274,16.19903846153846
20140806,52.09652777777777,71.04097222222222,79.39873054873055,40.553125,83.25833333333334,102.90416666666665,89.41994047619049,73.07291666666667,76.58749999999999,73.11892523364487,37.7875,48.030792476754016,46.71397849462366,77.29662162162163,32.24461538461538,14.30673076923077
20140807,97.17291666666667,124.15416666666665,83.54507575757576,69.27916666666667,108.92152777777778,99.925,70.26860119047619,145.48055555555555,98.5,76.83430685358256,68.15208333333334,63.817321428571425,47.43655913978495,80.2068506006006,50.41076923076923,49.46041666666667
20140808,88.93124999999999,106.42986111111111,102.3861111111111,95.19583333333333,104.94236111111111,122.25833333333333,98.71666666666665,121.94027777777778,122.50833333333333,92.35000000000001,89.84791666666666,89.22500000000001,48.159139784946234,109.10416666666667,76.18253205128205,76.07604166666667
