month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,房山区,大兴区,通州区,顺义区,昌平区,门头沟区,平谷区,怀柔区,密云区,延庆区
202001,65.4287508005528,72.87464558985694,86.95723362658848,76.29208252068454,95.56401467545162,65.82301332817849,107.88267700041892,95.77492668621701,86.15652492668622,63.651026392961874,56.21884164222874,63.46041055718475,72.49853372434018,45.09384164222874,50.59384164222874,71.16825513196481
202002,53.099828065860585,42.40284436738911,84.2452071737786,51.75105531913348,80.29481777822792,50.28501200748246,68.22349561193955,64.64396409451354,85.40437713546957,42.45094191522763,41.79960149740369,41.74951519069166,42.37735478806908,35.3484251310999,43.18438182027032,48.424023455536066
202003,50.93424932688516,50.647921778682154,66.63477517106548,56.355337941628264,61.10954892315454,57.97907773230354,64.89996254621956,61.12066696744117,63.74217267552182,58.79215542521994,45.060709451838484,54.3842504743833,48.96242668621701,43.709022274911085,45.58181639367714,50.22052354666207
202004,67.25716253443527,67.47134986225895,71.88760330578512,71.2512396694215,76.07217630853994,73.77685950413223,82.26404958677686,75.5297520661157,85.2504132231405,74.09793388429752,57.98677685950413,72.62396694214875,62.50289256198347,59.37933884297521,58.84338842975207,68.10165289256199
202005,59.61930283481499,64.50405199448987,70.49825610363727,70.07304790376539,70.77080219232685,59.60793158956913,79.37929745889387,66.59578973592427,67.95777279521674,65.8127802690583,59.318385650224215,71.13004484304933,57.47159940209268,58.20777279521674,53.960388639760836,64.65470852017937
202006,65.43064182194617,72.54516045548655,76.07958074534162,74.5830745341615,81.1911231884058,73.66149068322981,90.35209627329192,79.30603002070394,72.15100931677019,68.01475155279503,59.17818322981366,83.17624223602485,64.99068322981367,56.40605590062112,52.598990683229815,58.31444099378882
202007,48.199901552989985,53.26225267335294,59.53987654320987,56.30299663299663,59.11802469135802,49.776700300331925,57.49888888888889,55.16086419753087,60.592962962962964,53.16148148148148,42.666666666666664,47.7837037037037,45.254814814814814,41.25555555555555,40.65037037037037,36.57851851851852
202008,42.19222466601499,48.511241446725315,51.033357771260995,46.116446725317694,53.00097751710655,45.88729623080904,48.701001955034215,48.697702834799614,52.82734604105572,48.33907624633431,34.800586510263926,29.716275659824046,39.90909090909091,38.306451612903224,34.82551319648094,33.39076246334311
202009,36.101508542348235,40.05216284987277,46.87417302798982,39.163576881134134,45.798091603053436,42.88540315740512,45.17251908396947,43.49376590330789,44.512213740458016,48.037404580152675,27.934351145038168,22.6,30.085496183206107,25.489312977099235,26.74465648854962,29.301526717557252
202010,68.70932098765432,72.97507322437147,83.23975308641975,74.56040404040404,84.12765432098765,83.70777777777778,88.5111111111111,86.37987654320987,93.00222222222222,82.46629629629629,55.59037037037037,63.197037037037035,57.98740740740741,47.78592592592592,60.06444444444445,65.30296296296297
202011,63.603968253968254,66.43784421596922,75.15859788359788,77.5968766001024,79.24467120181406,75.63179690679691,88.51835978835979,79.24431216931217,97.79404761904762,75.26865079365079,53.202777777777776,56.102380952380955,56.415079365079364,46.12936507936508,53.541269841269845,62.74761904761905
202012,53.502740408570006,58.00236671649228,67.40682610861982,65.56763826606876,74.851644245142,70.60313901345292,81.67189835575486,75.26918285999004,87.67488789237669,66.52727952167415,44.833333333333336,51.82585949177877,43.417040358744394,36.761584454409565,37.62855007473841,55.01270553064275
