date,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20230101,25.666666666666668,34.166666666666664,29.208333333333332,33.291666666666664,30.75,37.875,42.791666666666664,38.5,45.625,26.5,39.333333333333336,39.875,28.458333333333332,24.416666666666668,12.458333333333334,28.625,30.458333333333332,15.333333333333334,9.625,14.083333333333334,5.875,22.5,15.458333333333334,13.625,15.125,43.583333333333336,40.333333333333336,57.916666666666664,46.333333333333336,49.958333333333336,53.708333333333336,32.75,33.708333333333336,40.916666666666664,23.458333333333332
20230102,15.565217391304348,17.82608695652174,19.391304347826086,24.347826086956523,17.304347826086957,18.0,32.130434782608695,31.217391304347824,30.47826086956522,29.08695652173913,30.82608695652174,32.65217391304348,10.0,11.782608695652174,5.0,10.782608695652174,15.391304347826088,10.782608695652174,7.260869565217392,5.934782608695652,2.739130434782609,10.347826086956522,3.6956521739130435,5.3478260869565215,4.260869565217392,18.934782608695652,13.565217391304348,30.565217391304348,26.043478260869566,32.08695652173913,39.91304347826087,32.21739130434783,30.73913043478261,37.34782608695652,26.956521739130434
20230103,25.625,32.375,37.083333333333336,36.833333333333336,39.166666666666664,37.458333333333336,55.625,47.875,56.541666666666664,32.25,44.125,49.625,37.458333333333336,34.166666666666664,21.458333333333332,31.333333333333332,32.958333333333336,15.208333333333334,11.083333333333334,17.75,14.708333333333334,23.375,21.208333333333332,23.333333333333332,18.291666666666668,46.291666666666664,42.458333333333336,55.208333333333336,42.666666666666664,45.916666666666664,54.208333333333336,36.083333333333336,35.541666666666664,43.416666666666664,30.666666666666668
20230104,40.5,54.291666666666664,54.375,62.166666666666664,59.583333333333336,57.75,62.895833333333336,57.166666666666664,71.25,52.125,55.125,62.291666666666664,42.208333333333336,41.083333333333336,33.0625,29.583333333333332,29.041666666666668,24.875,24.25,37.958333333333336,24.208333333333332,32.208333333333336,25.666666666666668,44.916666666666664,37.25,58.666666666666664,59.0625,64.91666666666667,60.625,62.083333333333336,60.375,47.5,45.375,55.0625,40.458333333333336
20230105,57.0,75.16666666666667,71.125,82.83333333333333,72.75,75.125,73.58333333333333,64.70833333333333,85.5,63.5,69.08333333333333,73.0625,45.25,44.708333333333336,35.541666666666664,42.833333333333336,41.166666666666664,39.5625,41.125,50.541666666666664,44.541666666666664,53.208333333333336,48.708333333333336,61.375,54.541666666666664,81.45833333333333,87.45833333333333,89.70833333333333,83.75,89.29166666666667,81.79166666666667,50.125,48.791666666666664,66.0,53.083333333333336
20230106,42.083333333333336,52.458333333333336,50.520833333333336,57.625,54.833333333333336,60.875,48.416666666666664,42.583333333333336,56.25,46.625,45.083333333333336,47.083333333333336,40.791666666666664,31.166666666666668,24.75,19.958333333333332,21.5,34.458333333333336,33.25,46.625,38.541666666666664,43.25,38.708333333333336,45.916666666666664,38.458333333333336,61.5625,65.5,62.291666666666664,65.41666666666667,63.958333333333336,64.83333333333333,42.0,35.208333333333336,58.666666666666664,41.583333333333336
20230107,36.0625,55.375,55.8125,59.666666666666664,15.458333333333334,64.16666666666667,60.041666666666664,46.708333333333336,62.791666666666664,48.5,53.708333333333336,57.375,37.833333333333336,27.958333333333332,19.583333333333332,16.708333333333332,17.916666666666668,21.5,13.041666666666666,38.125,19.958333333333332,30.041666666666668,27.291666666666668,36.125,26.625,62.291666666666664,70.08333333333333,64.5,58.0,63.666666666666664,60.666666666666664,43.083333333333336,37.125,51.541666666666664,33.875
20230108,32.666666666666664,42.0,36.791666666666664,45.666666666666664,33.916666666666664,44.375,40.708333333333336,39.958333333333336,39.791666666666664,36.208333333333336,32.708333333333336,43.041666666666664,37.75,25.291666666666668,13.166666666666666,23.708333333333332,24.041666666666668,20.041666666666668,15.791666666666666,23.25,17.541666666666668,27.666666666666668,20.083333333333332,26.75,24.25,42.0,41.916666666666664,50.916666666666664,47.75,48.75,46.333333333333336,31.625,31.708333333333332,46.583333333333336,38.833333333333336
20230109,20.875,27.0,25.458333333333332,29.708333333333332,30.208333333333332,32.5,37.916666666666664,37.125,37.416666666666664,22.875,22.416666666666668,35.333333333333336,40.458333333333336,30.333333333333332,13.375,12.916666666666666,12.5625,16.375,12.958333333333334,19.833333333333332,9.875,21.166666666666668,18.375,23.0,22.291666666666668,36.0,38.208333333333336,33.5,39.708333333333336,40.625,49.166666666666664,32.0,28.416666666666668,31.791666666666668,16.770833333333332
20230110,43.333333333333336,49.333333333333336,50.92438271604939,56.375,62.708333333333336,65.5625,62.333333333333336,57.541666666666664,60.75,49.583333333333336,55.625,58.708333333333336,45.208333333333336,42.25,30.791666666666668,31.291666666666668,33.25,37.875,38.0,46.083333333333336,41.708333333333336,32.916666666666664,33.291666666666664,60.208333333333336,54.708333333333336,56.375,56.875,46.958333333333336,43.416666666666664,47.541666666666664,49.541666666666664,39.916666666666664,42.4375,48.625,29.833333333333332
20230111,60.75,71.58333333333333,82.61728395061728,79.47916666666667,72.41666666666667,78.33333333333333,68.29166666666667,65.58333333333333,74.95833333333333,61.395833333333336,64.16666666666667,69.04166666666667,52.625,45.25,39.541666666666664,39.416666666666664,39.291666666666664,41.791666666666664,39.583333333333336,49.833333333333336,46.791666666666664,48.666666666666664,46.291666666666664,62.208333333333336,53.583333333333336,76.375,79.85416666666667,82.16666666666667,78.75,83.75,69.91666666666667,49.416666666666664,49.125,68.5625,48.333333333333336
20230112,63.604166666666664,70.39583333333333,73.75,73.54166666666667,69.83333333333333,71.54166666666667,64.79166666666667,58.833333333333336,69.70833333333333,63.375,65.875,69.08333333333333,60.75,56.208333333333336,31.625,31.708333333333332,35.0,47.958333333333336,42.166666666666664,48.291666666666664,40.875,54.916666666666664,50.791666666666664,53.166666666666664,49.291666666666664,68.33333333333333,69.5,75.04166666666667,72.875,71.95833333333333,66.41666666666667,57.125,56.041666666666664,63.75,59.729166666666664
