date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20170101,9.0,6.300000000000001,3.85,3.3499999999999996,7.0,6.5,8.05,7.6,4.45,6.65,6.45,7.800000000000001,6.35,5.85,5.75,5.25,6.3,7.75,8.0,4.3999999999999995,3.65,1.8,4.85,5.65,1.2,5.45,5.4,5.5,5.25,5.55,7.0,3.7,4.550000000000001,6.6,6.699999999999999
20170102,4.620833333333334,4.345833333333333,3.016666666666667,4.229166666666667,2.858333333333333,3.5104166666666665,3.6,4.679166666666666,1.8958333333333333,5.691666666666666,4.941666666666666,3.4291666666666667,4.575,4.858333333333333,6.166666666666667,4.1000000000000005,4.4125000000000005,3.2375000000000003,2.279166666666667,5.479166666666667,3.3166666666666664,1.8,1.9583333333333333,1.575,0.7791666666666667,1.2875,2.279166666666667,4.85,5.754166666666666,4.854166666666667,3.6750000000000003,4.433333333333333,2.8708333333333336,5.008333333333334,3.2916666666666665
20170103,7.058333333333334,6.479166666666667,5.4750000000000005,6.364583333333333,4.989583333333333,6.20625,5.71875,4.9125000000000005,4.479166666666667,6.766666666666667,4.947916666666667,5.645833333333333,7.791666666666667,8.170833333333333,8.183333333333334,7.354166666666667,5.1375,3.8666666666666667,3.7291666666666665,3.8791666666666664,2.654166666666667,2.5875,2.9499999999999997,3.1333333333333333,1.14375,1.4708333333333332,3.475,8.766666666666667,7.1375,8.433333333333334,6.204166666666667,7.091666666666666,5.389583333333333,7.016666666666667,6.260416666666667
20170104,5.89375,9.2125,6.8625,7.002083333333332,7.141666666666667,7.558333333333334,8.454166666666667,5.6875,4.566666666666666,9.945833333333335,9.616666666666667,7.291666666666667,9.729166666666666,9.299999999999999,9.4125,6.970833333333334,7.425000000000001,5.891666666666667,4.7,8.591666666666667,3.625,4.008333333333334,2.2666666666666666,2.620833333333333,1.4041666666666668,2.154166666666667,5.6875,8.204166666666667,7.720833333333334,7.1000000000000005,8.15625,9.75,7.983333333333333,9.658333333333333,9.145833333333334
20170105,1.4124999999999999,5.810416666666666,4.85,5.31875,5.470833333333334,5.766666666666667,5.204166666666667,5.5625,4.479166666666667,5.870833333333334,5.514583333333333,5.779166666666666,5.429166666666667,5.183333333333334,6.433333333333334,5.391666666666667,6.029166666666666,5.316666666666666,6.079166666666667,6.808333333333334,4.6875,5.375,2.8708333333333336,4.991666666666666,3.4166666666666665,5.45,6.40625,6.916666666666667,6.2250000000000005,4.066666666666666,5.120833333333334,5.008333333333334,5.866666666666667,5.283333333333333,5.6000000000000005
20170106,1.7333333333333334,4.179166666666666,4.1875,4.8812500000000005,3.904166666666667,5.4750000000000005,4.908333333333333,4.3,3.7395833333333335,4.866666666666666,3.983333333333333,3.529166666666667,3.8833333333333333,6.589583333333334,4.2625,4.795833333333333,5.133333333333334,3.3687500000000004,3.704166666666667,3.3083333333333336,3.2416666666666667,2.9291666666666667,2.8958333333333335,3.154166666666667,2.1958333333333333,2.245833333333333,2.2875,7.258333333333333,5.3625,5.2250000000000005,4.8,4.483333333333333,3.8249999999999997,5.241666666666666,6.789583333333333
20170107,1.3208333333333333,3.225,2.275,3.3625000000000003,2.629166666666667,3.9499999999999997,3.283333333333333,4.441666666666666,3.3125,3.9499999999999997,2.8208333333333333,3.9416666666666664,3.6791666666666667,4.570833333333334,4.195833333333334,4.454166666666667,3.1833333333333336,3.5083333333333333,3.358333333333333,3.85,2.5625,2.5625,2.2125,2.1041666666666665,1.0958333333333334,1.7916666666666667,3.3687500000000004,7.183333333333334,3.9375,4.233333333333333,3.2375000000000003,2.8083333333333336,2.858333333333333,4.0125,4.033333333333333
20170108,0.8125,1.1375,0.6124999999999999,1.375,0.46249999999999997,0.625,0.9249999999999999,0.8708333333333332,0.5666666666666667,1.7375,2.1374999999999997,1.3583333333333334,2.629166666666667,3.7375000000000003,2.191666666666667,1.0041666666666667,1.3583333333333334,0.7000000000000001,0.5041666666666667,1.5625,0.8791666666666668,1.1583333333333334,0.9249999999999999,0.43333333333333335,0.5958333333333333,0.625,1.4124999999999999,2.1791666666666667,2.779166666666667,2.0625,1.1333333333333333,1.1812500000000001,0.7125,1.8333333333333333,0.5666666666666667
20170109,1.3625,0.6541666666666667,0.53125,0.4092177672955975,0.65,0.5833333333333334,0.7458333333333332,0.5375,0.4589285714285714,0.8375,1.0583333333333333,0.8875000000000001,0.7875,0.8958333333333334,0.75,0.5750000000000001,0.6229166666666667,0.6208333333333333,0.7041666666666666,0.9854166666666666,0.5041666666666667,0.5416666666666666,0.6166666666666667,0.5416666666666666,0.5083333333333333,0.37083333333333335,0.48333333333333334,0.5645833333333333,0.8125,0.8458333333333333,0.6124999999999999,0.625,0.6791666666666667,0.85,0.525
20170110,1.1666666666666667,0.6708333333333334,0.23750000000000002,0.5101415094339622,0.6291666666666667,0.6208333333333333,0.6458333333333334,0.5208333333333334,0.5244047619047619,0.9874999999999999,0.6541666666666667,0.9458333333333333,0.8375,0.9416666666666668,0.7708333333333334,0.5916666666666667,0.5875,0.6166666666666667,0.6124999999999999,1.0708333333333333,0.3416666666666666,0.5208333333333334,0.5958333333333333,0.3854166666666667,0.46249999999999997,0.28125,0.48750000000000004,0.9249999999999999,0.9249999999999999,1.0125,0.7312500000000001,0.7041666666666666,0.7166666666666667,0.875,0.6833333333333332
