date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20190101,59.333333333333336,55.6,53.13333333333333,56.666666666666664,62.0,58.22222222222222,63.13333333333333,71.8,,80.93333333333334,70.73333333333333,54.96666666666667,98.13333333333334,156.6,85.2,81.2,68.26666666666667,55.4,47.8,41.46666666666667,47.166666666666664,60.166666666666664,88.26666666666667,66.4,76.73333333333333,37.46666666666667,41.7,95.06666666666666,146.4,116.43333333333334,49.2,50.4,57.06666666666667,93.4,68.46666666666667
20190102,62.733333333333334,55.6,62.35,69.8,69.66666666666667,62.31111111111111,77.06666666666666,74.8,,70.73333333333333,53.0,63.46666666666667,84.46666666666667,154.4,73.6,64.86666666666666,36.233333333333334,50.13333333333333,65.53333333333333,31.6,25.666666666666668,25.0,83.8,45.733333333333334,99.2,17.22222222222222,23.333333333333332,93.56666666666666,199.06666666666666,124.06666666666666,57.5,60.666666666666664,67.5,83.13333333333334,71.23333333333333
20190103,135.73333333333332,127.07619047619048,140.2,156.8,146.26666666666668,144.5111111111111,143.46666666666667,161.26666666666668,,148.53333333333333,145.7111111111111,152.96666666666667,166.53333333333333,197.46666666666667,166.86666666666667,135.06666666666666,88.86666666666666,144.46666666666667,123.22222222222221,107.76666666666667,83.8076923076923,87.66666666666667,141.86666666666667,159.16666666666666,175.13333333333333,51.21111111111111,58.24,189.73333333333332,232.06666666666666,209.53333333333333,110.13333333333334,112.23333333333333,132.73333333333332,194.53333333333333,194.46666666666667
20190104,49.93333333333333,53.13333333333333,38.0,44.2,47.27733333333333,45.0,49.2,41.86666666666667,,44.06666666666667,58.4,48.333333333333336,90.86666666666666,84.53333333333333,64.4,65.53333333333333,54.06666666666667,39.56666666666667,48.733333333333334,38.8,42.07179487179487,41.25555555555556,85.3,35.266666666666666,57.03333333333333,28.933333333333334,14.774666666666665,71.06666666666666,90.86666666666666,168.9,35.53333333333333,42.53333333333333,48.43333333333333,59.13333333333333,53.56666666666667
20190105,26.533333333333335,26.266666666666666,28.866666666666667,32.2,24.685333333333332,28.4,37.733333333333334,53.93333333333333,,36.0,38.93333333333333,37.53333333333333,81.13333333333334,46.0,28.666666666666668,27.866666666666667,23.5,29.333333333333332,41.4,15.6,25.266666666666666,20.2,74.8,29.266666666666666,53.2,12.7,17.433333333333334,34.233333333333334,68.46666666666667,116.0,24.2,25.0,27.4,38.0,34.4
20190106,86.36666666666666,92.4,89.0,101.33333333333333,88.13333333333334,89.6,103.53333333333333,102.53333333333333,,118.8,89.06666666666666,98.6,117.2,154.33333333333334,119.66666666666667,100.33333333333333,75.13333333333334,76.8,78.66666666666667,57.56666666666667,61.733333333333334,74.33333333333333,109.43333333333334,76.53333333333333,134.6,45.733333333333334,61.833333333333336,102.13333333333334,145.93333333333334,159.26666666666668,77.93333333333334,90.2,86.6,135.73333333333332,108.33333333333333
20190107,55.6,53.60555555555556,53.0,63.4,60.266666666666666,66.2,73.4,83.6,,89.66666666666667,77.93333333333334,59.733333333333334,108.0,138.53333333333333,80.36666666666666,71.86666666666666,70.26666666666667,56.1,50.666666666666664,69.69166666666666,55.666666666666664,66.11666666666666,104.46666666666667,35.0,53.13333333333333,49.86666666666667,49.507407407407406,97.66666666666667,161.73333333333332,189.06666666666666,44.2,48.4,55.06666666666667,87.8,78.73333333333333
20190108,28.4,30.733333333333334,24.466666666666665,27.0,35.88888888888889,27.066666666666666,35.2,34.733333333333334,,28.8,21.6,18.666666666666668,36.266666666666666,32.86666666666667,32.46666666666667,32.666666666666664,24.366666666666667,28.266666666666666,19.533333333333335,15.686666666666667,27.2,29.6,51.13333333333333,30.3,49.93333333333333,13.233333333333333,16.266666666666666,37.93333333333333,73.66666666666667,115.86666666666666,21.333333333333332,23.333333333333332,28.666666666666668,33.733333333333334,23.333333333333332
20190109,54.56666666666667,66.6,61.0,70.4,55.4,69.0,73.0,73.6,,88.4,59.6,61.3,89.53333333333333,105.2,86.73333333333333,70.2,49.4,50.6,20.033333333333335,72.71333333333334,36.43333333333333,45.93333333333333,80.46666666666667,61.53333333333333,90.66666666666667,28.833333333333332,45.0,96.26666666666667,117.53333333333333,130.06666666666666,55.2,61.266666666666666,60.86666666666667,91.53333333333333,78.53333333333333
20190110,111.66666666666667,104.58888888888889,121.2,131.73333333333332,104.93333333333334,102.46666666666667,113.93333333333334,110.13333333333334,,141.86666666666667,109.06666666666666,106.68333333333334,130.93333333333334,164.66666666666666,144.86666666666667,107.86666666666666,100.4,117.6,90.8,113.6,75.13333333333334,86.0,118.0,102.13333333333334,151.8,47.63333333333333,86.13333333333334,159.0,183.13333333333333,164.4,96.2,118.4,113.13333333333334,172.0,131.86666666666667
20190111,115.13333333333334,117.72222222222221,136.86666666666667,159.73333333333332,108.8,115.46666666666667,154.36666666666667,160.6,,179.2,135.6,132.89166666666668,206.8,266.8666666666667,233.46666666666667,129.26666666666668,111.95,133.86666666666667,120.93333333333334,130.4,80.33333333333333,79.26666666666667,189.75238095238095,155.26666666666668,192.73333333333332,57.11111111111111,124.62857142857143,278.8,312.1666666666667,282.4,98.66666666666667,142.33333333333334,122.8,203.63333333333333,141.26666666666668
20190112,238.93333333333334,181.42091503267974,234.13333333333333,293.93333333333334,190.4,253.4,236.8,177.06666666666666,,286.0444444444445,216.98333333333332,125.97795698924732,277.6666666666667,421.73333333333335,402.6666666666667,311.7111111111111,164.53333333333333,154.13333333333333,158.96666666666667,218.54444444444442,113.53333333333333,108.0,176.73333333333332,173.73333333333332,168.6,90.07777777777778,160.51827956989248,345.1777777777778,489.6102564102564,368.2,174.9090909090909,309.1555555555555,217.66666666666666,369.0,273.53333333333336
20190113,214.02738095238095,113.37914438502675,287.0121212121212,265.6,167.2888888888889,209.47619047619045,189.66666666666666,82.26666666666667,,166.88333333333333,278.01666666666665,150.2688172043011,268.43333333333334,313.0222222222222,236.27777777777777,157.59047619047618,82.66666666666667,57.266666666666666,106.0,180.85185185185185,67.17777777777778,64.86666666666666,85.76666666666667,40.9,59.86666666666667,43.75,99.70967741935483,242.7111111111111,410.7692307692308,311.9,116.61363636363636,290.27777777777777,162.93333333333334,298.6666666666667,223.93333333333334
20190114,178.8,123.31090909090909,161.6,193.83333333333334,133.26666666666668,178.6,112.26666666666667,128.38095238095238,,211.83333333333334,110.35,116.56666666666666,232.66666666666666,325.56666666666666,281.6,236.55555555555557,127.76666666666667,83.26666666666667,74.6,143.46666666666667,80.66666666666667,88.2,76.6,76.4,108.8,38.3,117.7,290.2133333333333,499.08717948717947,228.23333333333332,63.37727272727273,162.1,130.9,261.3333333333333,217.93333333333334
20190115,62.666666666666664,60.96666666666667,56.46666666666667,59.0,64.13333333333334,59.6,66.6,59.6,,42.6,42.266666666666666,57.53333333333333,42.06666666666667,63.0,43.93333333333333,78.46666666666667,43.666666666666664,54.13333333333333,57.36666666666667,30.733333333333334,29.733333333333334,28.533333333333335,67.13333333333334,54.93333333333333,100.06666666666666,24.333333333333332,14.533333333333333,73.66666666666667,57.8,60.2,28.833333333333332,52.06666666666667,45.86666666666667,63.2,77.2
20190116,74.6,76.4,69.73333333333333,85.8,111.33333333333333,77.2,90.53333333333333,73.13333333333334,,83.06666666666666,52.333333333333336,73.26666666666667,85.96666666666667,122.06666666666666,106.0,86.53333333333333,53.7,51.2,83.53333333333333,54.46666666666667,43.733333333333334,33.8,61.266666666666666,39.06666666666667,71.0,17.77777777777778,33.733333333333334,109.0,140.33333333333334,150.93333333333334,63.96666666666667,84.8,62.2,111.03333333333333,94.53333333333333
