month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
201901,56.87943786982248,67.20414201183432,57.76183431952663,64.88313609467455,52.04955621301775,55.93269230769231,51.19378698224852,40.90976331360947,,65.8173076923077,58.47559171597633,56.71301775147929,68.81952662721893,78.7766272189349,64.93121301775147,58.57692307692308,43.37278106508876,38.76331360946745,43.196005917159766,46.703402366863905,33.29585798816568,34.02662721893491,51.47485207100592,34.02292899408284,43.37721893491124,27.826183431952664,49.62869822485207,88.46967455621302,114.64423076923077,105.51331360946746,64.24852071005917,64.58136094674556,57.0362426035503,69.73002958579882,54.60502958579882
201902,49.87049180327869,61.454918032786885,54.35819672131147,59.8827868852459,55.12459016393443,57.20245901639344,55.484426229508195,52.30081967213115,,62.752459016393445,56.41639344262295,54.309016393442626,70.75901639344262,67.50901639344262,58.12950819672131,59.993442622950816,50.010655737704916,43.791803278688526,49.427868852459014,53.99262295081967,37.09590163934426,38.799180327868854,46.29754098360656,35.31147540983606,46.572131147540986,32.02704918032787,56.88770491803279,86.44344262295083,100.66967213114754,94.89590163934426,61.46311475409836,57.7,63.70737704918033,66.53852459016393,59.040983606557376
201903,52.74889867841409,50.62261380323054,50.22687224669603,55.16079295154185,51.53817914831131,50.72980910425844,51.98237885462555,54.3928046989721,,52.47136563876652,46.53318649045521,52.15124816446402,49.97063142437592,48.65491923641704,43.93832599118943,45.03891336270191,55.75917767988253,47.0712187958884,48.59251101321586,53.104992657856094,50.4640234948605,52.169603524229075,48.82819383259912,45.864904552129225,46.62187958883994,48.28340675477239,55.833333333333336,57.660058737151246,58.55506607929515,59.14537444933921,60.37371512481645,55.77533039647577,56.284140969163,54.60058737151248,50.95888399412628
201904,50.621168437025794,48.45371775417299,45.66236722306525,48.9051593323217,50.86874051593323,49.65174506828528,48.73065250379363,47.06980273141123,,50.531866464339906,47.392867981790594,50.59635811836115,43.606980273141126,46.446889226100154,39.26100151745068,49.86039453717754,48.26555386949924,45.16995447647952,51.73899848254932,45.865705614567524,45.65098634294385,42.08270106221548,43.52731411229135,43.40591805766313,44.64795144157815,39.66009104704097,54.861911987860395,50.3247344461305,53.47040971168437,52.585735963581186,52.28148710166919,52.201062215478,51.59332321699545,48.392261001517454,47.86949924127466
201905,42.50513950073422,36.4273127753304,36.84875183553598,37.519823788546255,34.64831130690162,40.04698972099853,34.69383259911894,37.256240822320116,,39.194566813509546,34.0359765051395,44.43832599118943,34.96989720998531,34.477239353891335,40.04698972099853,40.47283406754772,39.732745961820854,33.348017621145374,34.073421439060205,35.18281938325991,32.297356828193834,32.194566813509546,33.147577092511014,31.040381791483114,37.11160058737151,29.48604992657856,52.723201174743025,42.79001468428781,41.32672540381792,46.36123348017621,37.54258443465492,49.116005873715125,46.33480176211454,38.909691629955944,46.51908957415565
201906,39.586523736600306,39.80398162327718,36.789433384379784,39.36140888208269,36.89050535987749,41.8353751914242,39.26339969372129,36.29709035222052,,39.77182235834609,36.888973966309344,39.19525267993875,35.2802450229709,38.267228177641655,36.60719754977029,43.045176110260336,40.5635528330781,33.98928024502297,35.308575803981626,36.619448698315466,34.046707503828486,34.46094946401225,33.17075038284839,30.42955589586524,37.42572741194487,31.483154670750384,46.684532924961715,47.437978560490045,45.381316998468606,41.58116385911179,36.61638591117917,42.06508422664625,42.50689127105666,36.757274119448695,33.73583460949464
201907,37.553329191260225,40.40615615615616,39.224474474474476,39.507507507507505,37.44294294294294,38.870870870870874,36.627627627627625,33.127627627627625,,38.36711711711712,32.85885885885886,37.278528528528525,32.50525525525526,37.747747747747745,35.54204204204204,43.641891891891895,35.711711711711715,32.27477477477478,31.933933933933933,32.388888888888886,30.23948948948949,28.556306306306308,29.18093093093093,29.62012012012012,33.140390390390394,26.487237237237238,44.482732732732735,51.29504504504504,42.56981981981982,36.1036036036036,38.22372372372372,39.322072072072075,40.36486486486486,30.40765765765766,30.075075075075077
201908,24.243230174081237,36.077507598784194,23.90501519756839,24.508358662613983,24.209726443768997,24.354103343465045,22.159574468085108,22.58434650455927,,23.443768996960486,16.26519756838906,22.370060790273556,20.39437689969605,23.09954407294833,23.87082066869301,27.53191489361702,21.64741641337386,20.072188449848024,18.443009118541035,18.876899696048632,18.69756838905775,19.104103343465045,17.31382978723404,17.856382978723403,20.80015197568389,17.911094224924014,27.52127659574468,28.8548632218845,18.727203647416413,20.24544072948328,26.179331306990882,26.284954407294833,26.09726443768997,23.085106382978722,23.070668693009118
201909,36.23503521126761,35.49031690140845,33.83978873239437,36.03697183098591,35.278169014084504,35.890845070422536,30.931338028169016,31.156690140845072,,34.304577464788736,23.451584507042252,32.173415492957744,32.33274647887324,32.16021126760563,34.715669014084504,41.103873239436616,34.757922535211264,28.669014084507044,24.366197183098592,33.642605633802816,26.47887323943662,25.714788732394368,24.91549295774648,24.631161971830984,27.60211267605634,24.406690140845072,43.502640845070424,45.331866197183096,31.9568661971831,32.403169014084504,36.03410134721372,39.04049295774648,38.183098591549296,32.65228873239437,33.38996478873239
201910,43.03178294573643,39.31550387596899,40.36666666666667,42.465891472868215,39.744961240310076,40.99302325581395,37.71782945736434,37.09922480620155,,41.52403100775194,34.1968992248062,40.58992248062015,43.51550387596899,36.78759689922481,37.989147286821705,43.58914728682171,38.49612403100775,35.124806201550385,32.68914728682171,37.29922480620155,32.25271317829457,34.24961240310078,32.14418604651163,29.31860465116279,39.60542635658915,30.411627906976744,43.18914728682171,47.8062015503876,38.89302325581395,41.88294573643411,46.342837883383886,42.694573643410855,41.99767441860465,38.92170542635659,39.40077519379845
