month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
201601,28.977150537634408,27.889112903225808,23.14516129032258,28.108870967741936,32.93682795698925,34.696236559139784,23.674059139784948,16.123655913978496,40.24327956989247,17.922043010752688,32.17204301075269,32.05040322580645,22.450940860215052,27.677419354838708,26.568548387096776,23.842741935483872,32.82392473118279,29.397849462365592,45.26747311827957,50.151881720430104,23.274193548387096,38.18481182795699,40.285618279569896,45.57795698924731,39.332661290322584,38.888440860215056,38.11491935483871,35.508736559139784,26.168010752688172,14.00739247311828,23.25,20.513440860215052,16.921370967741936,14.23991935483871,24.4872311827957
201602,48.54956896551724,47.78376436781609,43.4698275862069,47.87643678160919,51.64870689655172,50.27873563218391,46.30244252873563,33.819683908045974,64.63146551724138,35.660919540229884,54.73275862068966,50.627155172413794,44.05083996463307,46.8419540229885,48.4367816091954,46.05172413793103,47.23419540229885,45.06752873563219,51.0625,63.82830459770115,37.444683908045974,54.01795977011494,64.95402298850574,67.0294540229885,57.9691091954023,51.9669540229885,58.485632183908045,58.901580459770116,54.98994252873563,40.57255747126437,42.27298850574713,35.76795977011494,26.895114942528735,25.151580459770116,38.882183908045974
201603,49.26747311827957,48.98185483870968,43.93010752688172,48.18413978494624,51.32392473118279,49.770161290322584,44.237231182795696,21.24798387096774,58.593413978494624,41.19892473118279,47.56182795698925,51.77620967741935,54.62112282878412,49.24529569892473,49.54032258064516,44.33400537634409,43.715725806451616,44.50806451612903,48.95564516129032,64.12029569892474,44.47849462365591,51.350806451612904,56.182123655913976,64.85013440860214,70.27774331403363,53.185483870967744,68.90658602150538,51.814516129032256,64.41599462365592,51.317876344086024,41.02284946236559,35.1875,25.03293010752688,23.877688172043012,37.22513440860215
201604,75.13263888888889,74.72777777777777,69.50069444444445,73.61666666666666,75.03055555555555,70.9,69.0625,22.472397705872282,77.7298611111111,61.21736111111111,73.7375,72.02569444444444,74.60833333333333,70.25763888888889,69.81527777777778,66.86666666666666,63.91180555555555,63.25972222222222,64.36666666666666,83.62569444444445,66.62361111111112,78.72013888888888,79.69444444444444,84.22361111111111,75.66438746438747,72.86180555555555,60.607638888888886,75.03611111111111,83.12222222222222,69.57638888888889,59.34652777777778,60.982638888888886,43.02916666666667,34.64791666666667,51.19513888888889
201605,92.90322580645162,97.2883064516129,92.76881720430107,99.16532258064517,99.31787634408602,96.52083333333333,92.19959677419355,34.412464585715,106.61962365591398,82.1875,107.82190860215054,99.80309139784946,94.40188172043011,96.58131720430107,94.85416666666667,88.93548387096774,87.2385752688172,85.86478494623655,86.84408602150538,113.6975806451613,91.73387096774194,105.67002688172043,106.96639784946237,114.5241935483871,97.70698924731182,95.3864247311828,159.48360215053765,92.69556451612904,110.59475806451613,82.27836021505377,79.75645161290323,84.77553763440861,64.39650537634408,46.35201612903226,75.80913978494624
201606,110.05694444444444,98.53402777777778,108.37708333333333,123.99861111111112,116.98125,112.28958333333334,101.29097222222222,49.75694444444444,119.52083333333333,97.34166666666667,115.83333333333333,116.52708333333334,96.70208333333333,106.825,111.76458333333333,120.28541666666666,107.04027777777777,98.99319444444446,97.71597222222222,134.47916666666666,105.6673611111111,125.0625,112.51527777777778,115.37430555555555,100.94791666666667,112.87430555555555,124.70722222222221,106.54166666666667,121.04583333333333,83.19847222222222,92.86833333333333,90.32638888888889,89.56111111111112,62.48416666666667,77.81319444444445
201607,94.11559139784946,84.87298387096774,92.78629032258064,96.94556451612904,104.49596774193549,100.30846774193549,84.96572580645162,47.541666666666664,100.3622311827957,85.77486559139786,98.25873655913979,107.87768817204301,89.00336021505376,97.15860215053763,103.78494623655914,97.74731182795699,95.16465053763442,95.66061827956989,84.77016129032258,112.04166666666667,87.09610215053763,116.12903225806451,111.75806451612904,170.25940860215053,98.05779569892474,115.36088709677419,106.83266129032258,94.14112903225806,118.67674731182795,66.06922043010752,81.32862903225806,63.97849462365591,85.37163978494624,51.44489247311828,66.17271505376344
201608,81.72043010752688,78.90188172043011,81.53897849462365,77.18951612903226,90.91061827956989,89.49529569892474,73.18279569892474,61.41935483870968,95.67405913978494,70.48588709677419,77.33870967741936,82.47110215053763,76.8763440860215,83.96102150537635,95.59610215053763,89.55981182795699,76.05443548387096,78.7002688172043,68.7627688172043,93.91801075268818,60.443548387096776,84.90793010752688,86.37096774193549,82.73655913978494,66.81586021505376,90.59744623655914,155.10640997926325,71.64314516129032,64.32930107526882,57.189516129032256,74.36962365591398,61.714381720430104,73.25201612903226,70.90255376344086,56.667338709677416
201609,59.15972222222222,57.21319444444445,55.71875,56.94375,62.02986111111111,61.365972222222226,51.298611111111114,42.72013888888889,69.63819444444445,54.236805555555556,56.37222222222222,51.915277777777774,65.68541666666667,62.928472222222226,71.98402777777778,73.48333333333333,24.802777777777777,56.200694444444444,61.02361111111111,72.81111111111112,55.35,58.0375,56.735416666666666,70.37777777777778,28.220386737747848,77.74166666666666,87.52198746587243,63.04097222222222,52.05625,54.09583333333333,54.268055555555556,48.84861111111111,51.6,90.33724637681159,37.546527777777776
201610,23.129704301075268,22.47043010752688,21.519489247311828,20.25537634408602,24.465725806451612,23.543682795698924,20.11021505376344,22.9872311827957,29.56451612903226,18.211693548387096,21.083333333333332,19.11962365591398,25.726478494623656,19.724462365591396,25.2372311827957,26.6377688172043,23.650537634408604,23.407258064516128,24.766129032258064,32.74260752688172,26.700940860215052,28.546370967741936,40.13978494623656,36.73588709677419,2.371773288439955,46.793010752688176,42.81182795698925,26.776881720430108,20.144489247311828,21.98521505376344,19.364247311827956,26.129704301075268,18.295026881720432,56.51637447405329,14.313172043010752
