month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
201801,44.2869623655914,46.493951612903224,46.784274193548384,46.71706989247312,43.89986559139785,48.18346774193548,47.49596774193548,35.32728494623656,,52.89314516129032,40.417338709677416,47.09206989247312,56.38911290322581,53.39717741935484,54.377016129032256,47.60954301075269,34.77284946236559,35.346774193548384,40.255376344086024,30.518817204301076,25.65994623655914,30.944220430107528,31.053091397849464,27.3877688172043,39.932123655913976,13.796370967741936,28.123655913978496,55.98454301075269,45.410618279569896,55.229838709677416,54.375,52.29704301075269,52.58736559139785,66.63440860215054,56.65456989247312
201802,35.59730538922156,35.68937125748503,38.407934131736525,34.65868263473054,39.06137724550898,39.0314371257485,40.58083832335329,28.584580838323355,,41.33682634730539,25.00748502994012,33.72380239520958,39.56137724550898,38.127245508982035,42.39221556886228,37.88697604790419,32.009730538922156,26.90119760479042,28.206586826347305,22.945359281437124,24.236526946107784,27.838323353293415,24.819610778443113,19.748502994011975,30.0748502994012,14.328592814371257,22.661676646706585,42.23353293413174,39.28068862275449,36.81437125748503,45.98577844311377,47.43937125748503,50.44461077844311,58.71631736526946,53.86152694610779
201803,58.94892473118279,57.707661290322584,63.372983870967744,59.80577956989247,64.0524193548387,63.03763440860215,67.92338709677419,58.04368279569893,,68.80779569892474,47.104166666666664,62.31720430107527,63.85685483870968,61.49529569892473,66.55309139784946,62.82459677419355,55.44422043010753,46.92607526881721,56.564516129032256,36.89247311827957,37.44892473118279,46.04032258064516,44.748655913978496,40.148521505376344,56.48863636363637,24.192204301075268,34.568548387096776,66.28763440860214,49.12970430107527,58.409274193548384,70.70430107526882,75.9885752688172,80.04905913978494,88.81720430107526,83.39112903225806
201804,40.85146443514645,43.10320781032078,45.32914923291492,40.05648535564853,46.82635983263598,46.308228730822876,46.78730822873082,45.01324965132496,,49.68061366806137,33.524407252440724,49.13389121338912,49.72803347280335,43.3207810320781,49.12691771269177,42.206415620641565,36.1255230125523,31.85774058577406,45.61297071129707,25.846582984658298,24.369595536959554,36.85913528591353,30.741980474198048,27.974198047419804,45.63103841764929,15.697350069735007,24.435146443514643,47.576011157601116,33.25523012552301,34.73430962343096,56.156206415620645,72.5836820083682,62.2071129707113,76.7350069735007,71.36959553695955
201805,40.94050991501416,39.95042492917847,41.94192634560906,38.55594900849859,46.07648725212464,45.053824362606235,51.44263456090651,37.743626062322946,,47.20679886685552,28.873229461756374,45.90084985835694,45.38739376770538,45.922804532577906,44.11473087818697,42.17563739376771,37.50354107648725,27.51558073654391,39.96529745042493,26.71529745042493,22.79886685552408,33.492209631728045,28.657223796033993,24.43555240793201,45.843484419263454,13.441218130311615,20.606232294617563,44.79036827195468,27.835694050991503,29.85056657223796,60.64872521246459,60.111189801699716,65.55240793201133,80.78328611898017,72.50070821529745
201806,38.31857764876633,37.67634252539913,36.40711175616836,36.164731494920176,41.24455732946299,42.504354136429605,44.15166908563135,38.788824383164005,,42.68069666182874,27.050798258345427,38.68069666182874,41.515965166908565,40.34833091436865,42.905660377358494,36.0355587808418,35.51999677471375,26.1422351233672,31.78011611030479,21.955732946298983,18.47387518142235,27.878809869375907,28.34978229317852,25.492017416545718,47.59651669085631,11.25544267053701,16.87735849056604,37.68577648766328,26.11756168359942,27.70101596516691,67.09216255442671,52.937590711175616,63.957184325108855,83.98040638606676,80.07910014513789
201807,30.91701244813278,29.65560165975104,27.976486860304288,25.723374827109268,28.208160442600278,33.73374827109267,35.623789764868604,21.363070539419088,,32.939834024896264,17.293222683264176,28.99100968188105,26.304979253112034,31.506224066390043,27.027662517289073,22.67427385892116,19.69740279698786,19.421853388658366,21.59889349930844,14.878976486860305,14.843706777316736,15.712309820193637,15.622406639004149,14.727524204702627,32.93568464730291,5.7420470262793915,16.210926694329185,25.327800829875518,18.229598893499308,15.400414937759336,52.174965421853386,42.28324441809919,49.36652835408022,67.20677731673582,65.48824343015214
201808,30.520576131687243,32.58299039780521,32.497256515775035,28.003429355281206,29.670781893004115,30.56378600823045,33.78875171467764,19.07338820301783,,37.801097393689986,16.935528120713307,33.01920438957476,29.54320987654321,32.408093278463646,30.65432098765432,34.9519890260631,24.24142661179698,20.96570644718793,14.681069958847736,12.469135802469136,17.63991769547325,17.616598079561044,15.654320987654321,13.072016460905349,28.866255144032923,5.612482853223594,14.23525377229081,30.886145404663925,21.165980795610427,14.450617283950617,53.757201646090536,47.22800313541054,50.7201646090535,69.20370370370371,65.5843621399177
201809,35.40502793296089,37.42527932960894,35.3463687150838,36.99301675977654,38.53491620111732,35.254189944134076,35.89036312849162,25.893854748603353,,41.39315642458101,24.351256983240223,42.039106145251395,39.47346368715084,41.013966480446925,38.02793296089386,41.96927374301676,32.13058659217877,24.428770949720672,26.395251396648046,17.804469273743017,18.657122905027933,24.470670391061454,26.314944134078214,17.48603351955307,39.3554469273743,7.645949720670391,12.307262569832401,32.75139664804469,26.983938547486034,22.625698324022345,65.36173184357541,48.72835195530726,56.06634078212291,62.41829608938548,55.812150837988824
201810,46.185733512786,51.91991924629879,52.933378196500676,47.917900403768506,50.258411843876175,47.77187079407806,52.350605652759086,33.22341857335128,,53.88694481830417,38.98990578734859,57.57806191117093,54.87079407806191,58.155450874831764,52.6164199192463,57.559219380888294,36.89030955585464,30.484522207267833,41.42664872139973,27.5114401076716,25.607671601615074,37.306191117092865,42.21197846567968,20.232166890982505,45.57469717362046,11.844549125168237,18.65679676985195,38.84320323014805,49.38694481830417,35.35262449528937,87.50605652759084,58.14737550471063,63.14064602960969,71.8829071332436,68.80820995962316
