date,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20180101,17.625,12.25,16.416666666666668,14.375,17.75,14.791666666666666,17.458333333333332,11.833333333333334,,11.833333333333334,16.5,15.3125,12.541666666666666,9.083333333333334,11.208333333333334,12.208333333333334,29.125,17.020833333333332,24.458333333333332,14.833333333333334,27.25,30.416666666666668,11.125,34.5,12.25,44.333333333333336,21.041666666666668,9.145833333333334,7.416666666666667,16.958333333333332,11.833333333333334,5.083333333333333,14.625,7.583333333333333,9.0
20180102,29.958333333333332,25.875,26.375,27.625,27.375,24.875,27.291666666666668,26.208333333333332,,18.0,26.958333333333332,23.916666666666668,12.833333333333334,16.833333333333332,24.291666666666668,27.125,35.25,27.791666666666668,35.125,31.708333333333332,32.75,42.833333333333336,27.666666666666668,41.291666666666664,22.666666666666668,51.166666666666664,28.666666666666668,22.875,11.9375,12.25,26.583333333333332,12.0,23.6875,17.458333333333332,22.5
20180103,46.916666666666664,41.5,39.125,44.479166666666664,42.25,40.833333333333336,42.833333333333336,46.291666666666664,,31.208333333333332,57.333333333333336,44.708333333333336,40.0625,34.125,39.666666666666664,41.0,51.875,44.333333333333336,69.95833333333333,55.875,43.666666666666664,60.208333333333336,23.625,56.25,27.541666666666668,61.708333333333336,51.083333333333336,43.020833333333336,34.541666666666664,15.5,44.416666666666664,20.583333333333332,36.291666666666664,29.666666666666668,35.625
20180104,31.25,28.041666666666668,27.416666666666668,31.291666666666668,35.141666666666666,27.958333333333332,27.916666666666668,20.083333333333332,,20.166666666666668,22.583333333333332,20.6875,16.520833333333332,20.854166666666668,24.75,49.520833333333336,49.875,32.354166666666664,18.625,45.5625,44.9375,51.666666666666664,19.25,43.791666666666664,23.833333333333332,60.25,48.25,44.208333333333336,25.0,14.75,30.770833333333332,11.625,27.604166666666668,21.708333333333332,13.583333333333334
20180105,13.875,10.791666666666666,11.166666666666666,10.333333333333334,20.650000000000002,19.625,12.333333333333334,14.291666666666666,,8.041666666666666,16.125,10.541666666666666,12.083333333333334,7.25,9.625,22.291666666666668,31.666666666666668,27.708333333333332,18.25,38.916666666666664,33.125,31.916666666666668,20.833333333333332,46.5,25.25,58.916666666666664,46.041666666666664,13.083333333333334,10.375,17.333333333333332,10.229166666666666,3.6666666666666665,11.375,5.541666666666667,12.791666666666666
20180106,30.583333333333332,31.791666666666668,33.125,34.666666666666664,35.1875,33.541666666666664,24.041666666666668,14.291666666666666,,22.416666666666668,27.083333333333332,22.145833333333332,15.0625,18.708333333333332,22.916666666666668,50.583333333333336,52.5,37.708333333333336,16.166666666666668,41.416666666666664,41.125,46.0,16.375,52.666666666666664,23.791666666666668,65.95833333333333,52.270833333333336,33.333333333333336,23.833333333333332,19.8125,31.708333333333332,10.520833333333334,32.166666666666664,21.458333333333332,15.208333333333334
20180107,21.458333333333332,21.625,22.416666666666668,23.375,31.333333333333332,28.5,28.791666666666668,29.041666666666668,,14.083333333333334,37.125,23.25,23.333333333333332,15.875,17.25,29.833333333333332,27.041666666666668,30.041666666666668,41.333333333333336,30.041666666666668,35.958333333333336,21.416666666666668,27.916666666666668,44.416666666666664,26.875,50.833333333333336,31.666666666666668,19.208333333333332,20.0,18.291666666666668,23.791666666666668,10.291666666666666,21.916666666666668,13.208333333333334,21.833333333333332
20180108,52.166666666666664,59.833333333333336,61.583333333333336,62.0,54.104166666666664,54.25,69.75,61.125,,48.625,76.375,59.791666666666664,62.8125,55.25,56.041666666666664,68.375,65.125,55.291666666666664,74.75,68.625,69.5,64.58333333333333,70.20833333333333,70.8125,50.125,77.0,62.3125,67.79166666666667,59.166666666666664,42.3125,62.291666666666664,38.1875,56.645833333333336,43.375,50.458333333333336
20180109,51.708333333333336,56.041666666666664,61.166666666666664,55.291666666666664,58.0,55.125,68.83333333333333,63.0,,41.708333333333336,73.375,63.666666666666664,45.520833333333336,44.75,49.125,67.0,55.125,54.208333333333336,74.47916666666667,53.25,54.583333333333336,39.75,69.08333333333333,68.0625,53.333333333333336,61.75,52.125,53.020833333333336,38.916666666666664,45.75,57.166666666666664,35.875,61.666666666666664,36.041666666666664,52.791666666666664
20180110,54.875,62.5,60.208333333333336,63.041666666666664,57.0625,54.416666666666664,69.08333333333333,62.75,,52.333333333333336,82.125,69.08333333333333,68.45833333333333,56.375,55.958333333333336,75.75,71.5,56.791666666666664,74.20833333333333,58.75,63.1875,52.958333333333336,72.25,72.875,54.3125,64.33333333333333,54.979166666666664,72.20833333333333,62.291666666666664,66.16666666666667,63.8125,38.666666666666664,59.104166666666664,45.958333333333336,46.541666666666664
20180111,42.979166666666664,49.875,49.6875,42.6875,43.333333333333336,41.833333333333336,48.625,48.875,,38.666666666666664,61.208333333333336,49.958333333333336,42.958333333333336,36.208333333333336,40.125,52.208333333333336,49.708333333333336,46.416666666666664,58.458333333333336,49.708333333333336,35.541666666666664,35.333333333333336,61.375,65.16666666666667,44.333333333333336,54.375,45.666666666666664,42.708333333333336,38.25,43.875,45.375,25.791666666666668,40.958333333333336,29.166666666666668,36.833333333333336
20180112,10.5,8.416666666666666,8.458333333333334,9.791666666666666,8.708333333333334,7.375,8.625,6.916666666666667,,6.583333333333333,20.125,11.083333333333334,10.145833333333334,11.083333333333334,11.041666666666666,12.75,19.166666666666668,8.0625,13.625,19.833333333333332,23.5625,18.583333333333332,21.375,20.833333333333332,33.875,53.666666666666664,35.479166666666664,18.75,19.333333333333332,22.291666666666668,9.458333333333334,7.4375,8.0625,7.041666666666667,6.5
20180113,7.458333333333333,5.958333333333333,8.875,8.375,8.625,8.458333333333334,7.958333333333333,6.416666666666667,,5.375,11.958333333333334,6.458333333333333,10.050438596491228,4.208333333333333,7.125,5.833333333333333,12.583333333333334,8.125,11.541666666666666,7.833333333333333,9.916666666666666,10.208333333333334,11.104166666666666,12.083333333333334,10.458333333333334,24.375,7.416666666666667,12.958333333333334,7.958333333333333,14.104166666666666,6.083333333333333,6.166666666666667,8.791666666666666,6.333333333333333,3.8333333333333335
20180114,23.083333333333332,14.166666666666666,16.125,12.625,21.416666666666668,23.916666666666668,26.125,31.333333333333332,,8.75,17.625,18.791666666666668,11.845394736842104,7.125,10.791666666666666,33.75,30.166666666666668,34.916666666666664,36.083333333333336,32.458333333333336,21.625,28.125,39.875,45.083333333333336,33.708333333333336,38.541666666666664,31.583333333333332,11.541666666666666,7.541666666666667,14.583333333333334,15.25,3.8125,15.479166666666666,6.0,17.208333333333332
20180115,24.5,26.208333333333332,31.125,30.083333333333332,29.541666666666668,25.583333333333332,27.791666666666668,21.458333333333332,,22.208333333333332,32.291666666666664,26.104166666666668,10.125,8.375,14.166666666666666,40.25,43.458333333333336,20.229166666666668,26.291666666666668,42.208333333333336,34.583333333333336,40.041666666666664,30.458333333333332,38.625,18.75,51.166666666666664,46.0,16.8125,10.875,20.125,24.791666666666668,10.291666666666666,29.083333333333332,16.875,9.291666666666666
20180116,33.958333333333336,36.166666666666664,37.875,35.833333333333336,38.75,35.583333333333336,38.354166666666664,42.708333333333336,,26.875,48.666666666666664,40.75,25.125,26.5,34.291666666666664,48.458333333333336,37.916666666666664,38.5,48.333333333333336,47.333333333333336,30.458333333333332,36.0,27.333333333333332,53.333333333333336,31.791666666666668,52.3125,45.770833333333336,40.791666666666664,16.416666666666668,20.229166666666668,31.270833333333332,15.104166666666666,32.041666666666664,23.291666666666668,25.75
20180117,26.666666666666668,27.208333333333332,26.791666666666668,27.75,30.291666666666668,27.083333333333332,29.291666666666668,27.208333333333332,,20.958333333333332,38.75,30.604166666666668,16.541666666666668,17.416666666666668,25.208333333333332,39.708333333333336,36.166666666666664,36.270833333333336,43.333333333333336,39.041666666666664,30.666666666666668,33.25,35.708333333333336,48.833333333333336,30.0,53.291666666666664,36.5,30.041666666666668,5.25,11.354166666666666,28.375,15.166666666666666,24.416666666666668,20.333333333333332,19.708333333333332
20180118,8.5,6.9375,7.875,7.333333333333333,14.791666666666666,7.479166666666667,7.291666666666667,8.791666666666666,,5.041666666666667,25.916666666666668,10.354166666666666,11.583333333333334,5.666666666666667,9.458333333333334,15.166666666666666,31.875,18.354166666666668,27.5,36.333333333333336,27.291666666666668,23.125,23.208333333333332,32.833333333333336,19.291666666666668,51.895833333333336,44.583333333333336,15.708333333333334,7.0,15.354166666666666,6.708333333333333,2.5416666666666665,7.8125,5.25,4.458333333333333
