month,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202101,0.4157119476268412,0.5103927986906711,0.4563829787234043,0.4903436988543372,0.4359247135842881,0.49484451718494277,0.4912438625204582,0.4623567921440262,,0.5181669394435352,0.39198036006546644,0.5201309328968904,0.6510638297872341,0.6106382978723405,0.4638297872340425,0.6072831423895254,0.4364157119476269,0.5012274959083469,0.472013093289689,0.43076923076923074,0.45556464811783964,0.47119476268412436,0.45695581014729947,0.4822422258592471,0.4331423895253682,0.3950900163666121,0.4600654664484452,0.46137479541734855,0.641734860883797,0.5112111292962357,0.4719312602291326,0.46898527004909984,0.54189852700491,0.6391162029459901,0.5551554828150572,1.4025368248772505,1.2254500818330605,1.4888707037643207,1.279050736497545,2.0840425531914897,1.25949263502455,1.3476268412438626,1.1846153846153846,1.294026186579378,0.9362520458265139,1.3261047463175122,0.9945171849427168,1.0923076923076922,0.9348608837970541,0.9924713584288054,1.1774140752864157,1.369558101472995,0.8518003273322423,0.924631751227496,1.0798690671031095,0.9098199672667757,0.8144026186579378,1.0994271685761048,1.0005728314238953,1.1435351882160394,0.837152209492635,1.1118657937806875,1.3337152209492635,0.8397708674304419,1.0289689034369887,1.5243862520458265,1.1841243862520459,1.8711947626841248,1.0695581014729951,1.1006546644844517
202102,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.8123842592592593,0.9105324074074075,0.8408564814814815,0.8541666666666666,0.8659722222222223,0.8817129629629629,0.878125,0.8016203703703704,0.8182870370370371,0.7291666666666666,0.7665509259259259,0.7962962962962963,0.7077546296296297,0.6741898148148148,0.6290509259259259,0.6797453703703703,0.7853009259259259,0.758449074074074,0.7375,0.7891203703703703,0.7025462962962963,0.8563657407407407,0.8697916666666666,0.88125,0.8697916666666666,0.8506944444444444,0.8653935185185185,0.9944444444444445,0.8127314814814816,0.9671296296296297,0.8429398148148147,0.7060185185185185,0.8306712962962963,0.6733796296296296,0.7240740740740741
202103,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.7178763440860215,0.7448924731182797,0.7135752688172042,0.7161290322580645,0.7298387096774194,0.7325940860215053,0.7309811827956989,0.6956317204301075,0.7003360215053763,0.616263440860215,0.7024865591397849,0.7022849462365591,0.7006720430107526,0.6440860215053763,0.6175403225806452,0.6557123655913979,0.7191532258064516,0.6928763440860215,0.6880376344086021,0.6608870967741935,0.6477822580645161,0.6657930107526882,0.6653225806451613,0.7421370967741935,0.7924059139784946,0.6928763440860215,0.7240591397849463,0.834005376344086,0.6668682795698925,0.7188172043010752,0.7486559139784946,0.6884408602150538,0.740255376344086,0.8530913978494624,0.665725806451613
202104,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.4558712121212121,0.4570075757575758,0.4178030303030303,0.43910984848484846,0.41363636363636364,0.4597537878787879,0.4069128787878788,0.412594696969697,0.4225378787878788,0.41448863636363636,0.39081439393939393,0.39981060606060603,0.39308712121212125,0.34356060606060607,0.3633522727272727,0.3582386363636364,0.4152462121212121,0.4054924242424242,0.38077651515151517,0.40378787878787875,0.39943181818181817,0.42159090909090907,0.41865530303030307,0.43124999999999997,0.42803030303030304,0.3873106060606061,0.44763257575757576,0.5484848484848486,0.4152462121212121,0.4337121212121212,0.46875,0.3762310606060606,0.37272727272727274,0.5339015151515151,0.36562500000000003
202105,0.3,0.39999999999999997,0.3,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,,0.39999999999999997,0.3,0.5,0.39999999999999997,0.5,0.3,0.6,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.5,0.5,0.6,0.7000000000000001,0.5,0.5,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.3,0.5,0.5,0.4876177658142665,0.49448183041722743,0.47550471063257066,0.43519515477792736,0.4183041722745626,0.4706594885598923,0.4297442799461642,0.44131897711978463,0.4350605652759085,0.41318977119784656,0.4126514131897712,0.4037685060565276,0.40296096904441453,0.3269851951547779,0.3454239569313593,0.3501345895020188,0.43499327052489906,0.3677658142664872,0.3728129205921938,0.35491251682368774,0.37725437415881563,0.43923283983849265,0.4224764468371467,0.43304172274562586,0.4580753701211306,0.5658370458473748,0.45834454912516825,0.4628532974427994,0.46541049798115747,0.4432705248990579,0.49946164199192467,0.38882907133243605,0.3684387617765814,0.4909825033647376,0.4036339165545087
202106,0.3,0.4000000000000001,0.3,0.4000000000000001,0.4000000000000001,0.5,0.4000000000000001,0.4000000000000001,,0.4000000000000001,0.3,0.5,0.4000000000000001,0.5,0.3,0.6,0.4000000000000001,0.6,0.4000000000000001,0.4000000000000001,0.5,0.5,0.6,0.6999999999999998,0.5,0.5,0.4000000000000001,0.3,0.5,0.3,0.4000000000000001,0.3,0.3,0.5,0.5,0.6222717149220489,0.636859688195991,0.5981069042316258,0.5541202672605791,0.5297327394209354,0.5740534521158129,0.5599109131403118,0.6153674832962138,0.5818485523385301,0.5130289532293987,0.5348552338530067,0.5224944320712694,0.5291759465478841,0.4870824053452116,0.4992204899777283,0.47650334075723827,0.5657015590200446,0.5476614699331849,0.5732739420935411,0.5305122494432072,0.5448775055679287,0.6476614699331849,0.5737193763919822,0.5804008908685969,0.6192650334075724,1.0085369152236092,0.5935412026726058,0.6219376391982183,0.5713808463251671,0.5614699331848553,0.7151447661469934,0.5405345211581292,0.504120267260579,0.7086859688195991,0.5206013363028953
202107,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.6696236559139784,0.6811827956989247,0.6233870967741936,0.571975806451613,0.564247311827957,0.6740591397849462,0.5682795698924731,0.6633064516129032,0.6270833333333333,0.5502016129032259,0.5353494623655914,0.5274193548387096,0.5691532258064516,0.47809139784946236,0.5391129032258065,0.4901209677419355,0.5644489247311828,0.5270833333333333,0.6046370967741935,0.5477822580645162,0.49966397849462363,0.6646505376344086,0.6036290322580645,0.605510752688172,0.6588037634408602,0.5530913978494624,0.6233870967741936,0.5549731182795699,0.6088037634408602,0.5910618279569892,0.716263440860215,0.5401209677419355,0.5340725806451613,0.7803763440860215,0.4986559139784946
202108,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.5929824561403508,0.6202850877192982,0.5607456140350877,0.6359649122807017,0.5292763157894737,0.5665570175438597,0.5323464912280702,0.6087719298245614,0.5858552631578947,0.5481359649122807,0.5212719298245614,0.5229166666666667,0.5326754385964912,0.45745614035087717,0.5341008771929825,0.4888157894736842,0.5626096491228071,0.49725877192982454,0.5665570175438597,0.5108552631578948,0.4893640350877193,0.5996710526315789,0.5314692982456141,0.5353070175438597,0.5788377192982456,0.5324561403508772,0.5860745614035088,0.5375,0.575109649122807,0.5317982456140351,0.6144736842105263,0.544078947368421,0.5456140350877193,0.6403508771929824,0.49166666666666664
202109,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,,0.4,0.3,0.5,0.4,0.5,0.3,0.6,0.4,0.6,0.4,0.4,0.5,0.5,0.6,0.7,0.5,0.5,0.4,0.3,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.7506250000000001,0.7788194444444444,0.7022916666666666,0.7252777777777778,0.6493055555555556,0.7307638888888889,0.6290277777777777,0.69875,0.6933333333333334,0.6147916666666666,0.6061805555555555,0.5931944444444445,0.6143055555555555,0.5216666666666667,0.5770833333333333,0.5411805555555556,0.5692361111111112,0.5488888888888889,0.604375,0.5583333333333333,0.521875,0.6336111111111111,0.5962500000000001,0.5988194444444445,0.6315277777777778,0.5754861111111111,0.6950694444444444,0.6370138888888889,0.6727083333333334,0.6971527777777777,0.6815277777777777,0.5768055555555556,0.5760416666666667,0.6845138888888889,0.5340277777777778
202110,0.3,0.39999999999999997,0.3,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,,0.39999999999999997,0.3,0.5,0.39999999999999997,0.5,0.3,0.6,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.5,0.5,0.6,0.7000000000000001,0.5,0.5,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.3,0.5,0.5,0.5698509485094851,0.599390243902439,0.5387533875338754,0.5764227642276423,0.47872628726287264,0.565379403794038,0.49722222222222223,0.49403794037940385,0.5386178861788617,0.3983739837398374,0.49410569105691055,0.44308943089430897,0.45941734417344177,0.3502032520325203,0.34952574525745256,0.36605691056910566,0.4328590785907859,0.3953252032520325,0.3514227642276423,0.4296747967479675,0.37730352303523035,0.46212737127371273,0.46260162601626015,0.4562330623306233,0.42967708047867,0.48584010840108405,0.5218157181571816,0.5818428184281843,0.4834688346883469,0.5378726287262873,0.5329945799457995,0.38658536585365855,0.3976964769647697,0.5139566395663957,0.32974254742547426
