month,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
202301,73.39784946236558,68.24193548387096,70.97491039426524,74.15053763440861,69.19713261648745,73.04838709677419,70.90322580645162,56.19699476151089,74.42652329749104,71.18279569892474,75.89810547875064,65.75537634408602,67.96236559139786,69.59831029185868,63.82795698924731,76.0752688172043,71.3010752688172,61.435842293906816,53.32258064516129,58.3494623655914,52.66129032258065,68.36505376344086,67.29569892473118,64.72043010752688,52.59623655913978,63.46953405017921,79.00358422939068,72.21505376344086,76.18817204301075,63.555299539170505,83.6989247311828,56.854838709677416,63.473118279569896,46.74731182795699,65.41935483870968
202302,84.83928571428571,80.96428571428571,85.0297619047619,83.96428571428571,79.45535714285714,82.52380952380952,84.02380952380952,50.424333900226756,87.1547619047619,84.85119047619048,88.80952380952381,57.001984126984134,80.32142857142857,54.747802197802194,71.48809523809524,68.80357142857143,65.80357142857143,83.95238095238095,63.85912698412699,65.58333333333333,59.357142857142854,45.05357142857143,77.66666666666667,76.94047619047619,33.13760683760684,37.39360902255639,90.55714285714286,59.15660173160173,86.01785714285714,43.94126984126984,63.273809523809526,55.660714285714285,79.45833333333333,41.25595238095238,77.20238095238095
202303,150.19565217391303,141.39673913043478,141.45108695652175,138.3641304347826,139.92391304347825,147.70108695652175,141.30978260869566,134.9909420289855,141.03804347826087,141.7663043478261,144.20108695652175,120.78493788819877,132.52173913043478,122.6891304347826,117.75652173913043,110.79347826086956,107.55978260869566,125.25271739130434,115.15217391304348,113.5,113.89673913043478,117.46739130434783,126.5054347826087,133.07065217391303,107.2136287625418,134.6445652173913,160.7391304347826,149.29347826086956,144.24347826086955,148.17391304347825,150.92391304347825,106.6195652173913,133.8695652173913,138.55434782608697,130.06521739130434
202304,125.28518518518518,122.42777777777778,121.45777777777779,121.77777777777777,114.33658515658514,125.22222222222223,121.97777777777777,131.72222222222223,127.67222222222222,126.8131868131868,140.77777777777777,132.61111111111111,107.14074074074074,109.81666666666666,101.7,91.58333333333333,86.7611111111111,100.71666666666667,101.73333333333333,101.18888888888888,105.31666666666666,117.20555555555555,105.9,115.90555555555555,116.1361111111111,131.96666666666667,136.20555555555555,145.96666666666667,123.06666666666666,132.86111111111111,140.73888888888888,121.65,128.00555555555556,150.89444444444445,122.2
202305,73.20967741935483,69.20430107526882,63.98924731182796,68.14336917562724,69.37768817204301,69.56989247311827,70.38709677419355,65.27956989247312,69.03225806451613,66.01290322580645,74.4247311827957,70.45519713261649,66.63655913978495,68.01612903225806,64.31182795698925,54.376344086021504,51.763440860215056,69.34946236559139,63.58064516129032,60.483870967741936,65.72043010752688,67.66989247311828,65.48387096774194,73.63440860215054,81.7078853046595,71.11827956989248,82.98924731182795,76.552688172043,64.54838709677419,66.47311827956989,65.43010752688173,58.274193548387096,70.81720430107526,78.93548387096774,72.22043010752688
202306,36.970555555555556,37.90555555555556,35.97222222222222,36.422222222222224,39.672222222222224,38.583333333333336,39.044444444444444,41.62777777777778,39.916666666666664,41.81111111111111,39.16111111111111,49.7,36.84444444444444,43.837037037037035,38.98888888888889,35.16111111111111,34.452777777777776,34.31111111111111,34.922222222222224,30.566666666666666,33.077777777777776,45.12777777777778,39.361111111111114,32.388888888888886,52.483333333333334,41.48888888888889,38.15555555555556,51.4037037037037,32.477777777777774,42.06111111111111,43.19444444444444,43.672222222222224,40.93333333333333,60.66111111111111,44.205555555555556
202307,37.248719918074755,37.08817204301075,36.9030698691989,38.166666666666664,37.681720430107525,36.373655913978496,37.983870967741936,36.51308243727598,35.553763440860216,35.93189964157706,36.45483870967742,40.79032258064516,34.61827956989247,44.418305171530974,29.61505376344086,30.253763440860215,27.252688172043012,35.15663082437276,32.41935483870968,29.74014336917563,32.58064516129032,36.49283154121864,33.704301075268816,33.82991202346041,42.82382133995037,36.98729227761486,35.44086021505376,46.89784946236559,32.12724014336918,38.797491039426525,33.225806451612904,40.344086021505376,35.543010752688176,47.954301075268816,33.306451612903224
202308,36.32043010752688,35.2647209421403,36.92903225806452,36.254838709677415,35.23596176821983,37.736559139784944,37.75268817204301,41.55913978494624,37.236559139784944,36.86827956989247,39.276881720430104,43.43010752688172,30.333333333333332,68.73041474654379,27.736559139784948,27.376344086021504,23.96989247311828,31.483870967741936,31.021505376344088,26.537634408602152,29.655913978494624,40.655913978494624,32.763440860215056,31.752688172043012,37.483484973807556,39.36184424894102,36.946236559139784,48.17204301075269,30.96057347670251,37.744086021505375,34.865591397849464,46.36021505376344,40.0,55.196236559139784,38.6505376344086
202309,53.74814814814815,50.522222222222226,52.49166666666667,53.583333333333336,47.80555555555556,56.87619047619048,52.82222222222222,64.15061728395062,47.977777777777774,47.75555555555555,50.613703703703706,62.37222222222222,44.65,70.0,36.97555555555556,36.077777777777776,32.73555555555556,43.87777777777778,42.34444444444444,35.333333333333336,39.266666666666666,54.28333333333333,44.51111111111111,53.03611111111111,60.855555555555554,64.20833333333333,57.93888888888889,64.01666666666667,47.88333333333333,55.579629629629636,44.32222222222222,52.977777777777774,40.0,73.08611111111111,47.611111111111114
202310,75.41935483870968,72.9247311827957,73.05913978494624,77.16666666666667,68.50268817204301,73.81720430107526,69.36559139784946,72.31182795698925,65.54838709677419,66.45161290322581,72.94086021505376,75.15591397849462,58.70967741935484,70.0,48.913978494623656,48.27956989247312,46.11827956989247,52.02150537634409,49.58064516129032,53.55913978494624,54.71075268817205,71.60752688172043,65.91397849462365,70.40322580645162,65.65591397849462,77.73118279569893,83.21236559139786,80.02150537634408,90.36559139784946,77.89247311827957,54.78535980148884,65.73655913978494,40.0,83.55645161290323,66.53763440860214
