month,东城区,西城区,朝阳区,海淀区,丰台区,石景山区,昌平区,延庆区,怀柔区,密云区,平谷区,顺义区,通州区,大兴区,门头沟区,房山区
202201,59.74715909090909,59.371212121212125,60.06912878787879,58.334280303030305,61.104166666666664,58.115530303030305,53.71401515151515,52.28219696969697,51.546401515151516,51.78693181818182,56.878787878787875,57.95170454545455,64.5340909090909,66.81849747474747,56.78598484848485,60.28787878787879
202202,40.408854166666664,40.7734375,40.970052083333336,39.393229166666664,41.213541666666664,38.459635416666664,36.57335069444444,36.462239583333336,35.984375,36.020833333333336,42.486979166666664,38.99609375,40.502604166666664,43.03602430555555,38.72265625,41.303385416666664
202203,69.08630952380952,71.5,70.60119047619048,70.1438492063492,74.01587301587301,71.92063492063492,66.31018518518519,63.080357142857146,63.05357142857143,60.35615079365079,64.75892857142857,67.56448412698413,72.8938492063492,70.84540343915344,71.75992063492063,70.66666666666667
202204,62.361519607843135,62.53063725490196,62.72549019607843,64.5220588235294,66.62009803921569,69.88480392156863,59.459150326797385,54.97549019607843,58.19117647058823,56.2953431372549,60.5110294117647,66.70220588235294,70.56985294117646,64.21997549019608,67.49754901960785,67.10661764705883
202205,50.537326388888886,49.34288194444444,50.80815972222222,46.075520833333336,50.328125,49.79600694444444,45.72743055555556,43.88715277777778,45.5234375,46.05902777777778,48.53472222222222,49.05815972222222,54.52690972222222,50.45746527777778,50.815104166666664,49.0
202206,49.73039215686274,49.5625,52.71078431372549,45.74264705882353,50.72549019607843,48.993872549019606,44.71160130718954,44.6078431372549,45.083333333333336,44.10906862745098,46.97549019607843,45.54656862745098,51.69975490196079,50.45690359477125,48.33455882352941,48.90196078431372
202207,44.20170454545455,44.046401515151516,45.428030303030305,40.18087121212121,41.60511363636363,42.34659090909091,38.67739898989899,38.558712121212125,39.99526515151515,39.60700757575758,41.90814393939394,43.53409090909091,48.10511363636363,44.28219696969697,38.28598484848485,39.104166666666664
202208,30.654761904761905,31.02529761904762,31.043154761904763,30.800595238095237,29.038690476190474,31.62797619047619,27.22420634920635,26.206845238095237,26.407738095238095,29.354166666666668,29.379464285714285,31.553571428571427,35.55952380952381,33.20709325396825,28.833333333333332,29.446428571428573
202209,79.39102564102564,80.0448717948718,78.61378205128206,76.61217948717949,80.38621794871794,80.52083333333333,69.8530982905983,66.12660256410257,66.29807692307692,70.05128205128206,68.50801282051282,75.70032051282051,90.12339743589743,80.96314102564102,69.42628205128206,73.99839743589743
202210,64.8099730458221,66.30458221024259,64.35916442048517,62.31132075471698,65.81132075471699,66.83086253369272,60.23944294699012,56.9332884097035,57.02291105121294,59.25269541778976,61.21293800539083,64.00673854447439,69.98652291105121,67.64880952380952,63.97843665768194,63.9811320754717
202211,75.06805555555556,75.53263888888888,72.54861111111111,71.32847222222222,75.49236111111111,74.50972222222222,62.81527777777778,57.92638888888889,57.87708333333333,58.37986111111111,69.55,67.09027777777777,80.92083333333333,79.46354166666667,70.96458333333334,76.16597222222222
202212,50.26756756756757,50.075675675675676,49.388513513513516,50.56891891891892,57.619594594594595,54.902702702702705,46.35855855855856,48.62094594594595,41.07635135135135,41.766216216216215,47.362162162162164,45.57432432432432,54.19932432432432,57.689527027027026,52.43108108108108,53.38445945945946
